year,state_district,party,candidate,vote_pct
1976,Georgia5,democrat,Andrew Young,0.6667638463727674
1976,Georgia6,democrat,"John J. Flynt, Jr.",0.5170730406018247
1976,Georgia7,democrat,Larry P. McDonald,0.5508615861521028
1976,Georgia8,democrat,Bill Lee Evans,0.6956124314442413
1976,Georgia9,democrat,Ed Jenkins,0.7899509615854127
1976,Georgia10,democrat,Doug Barnard,0.9991356046550852
1976,Hawaii1,democrat,Cecil L. Heftel,0.43640354064621156
1976,Hawaii2,democrat,Daniel K. Akaka,0.7951107950723579
1976,Idaho1,republican,Steven D. Symms,0.5460725376791361
1976,Idaho2,republican,George Hansen,0.5058228973872076
1976,Illinois1,democrat,Ralph H. Metcalfe,0.9230208538336504
1976,Illinois2,democrat,Morgan F. Murphy,0.846755579206439
1976,Illinois3,democrat,Martin A. Russo,0.5886537824968808
1976,Illinois4,republican,Edward Derwinski,0.6578789283982884
1976,Illinois5,democrat,John G. Fary,0.7694529698501534
1976,Illinois6,republican,HenryJ. Hyde,0.6059695387639397
1976,Illinois7,democrat,Cardiss Collins,0.8476857455761139
1976,Illinois8,democrat,Daniel D. Rostenkowski,0.8054108476282731
1976,Illinois9,democrat,Sidney R. Yates,0.7214631057562003
1976,Illinois10,democrat,Abner J. Mikva,0.5004545156362751
1976,Illinois11,democrat,Frank Annunzio,0.6739227561556791
1976,Illinois12,republican,Philip M. Crane,0.7283472306799711
1976,Illinois13,republican,Robert McClory,0.667977548610181
1976,Illinois14,republican,John Erlenborn,0.7442304766091264
1976,Illinois15,republican,Tom Corcoran,0.5391077164079461
1976,Illinois16,republican,John B. Anderson,0.6791739936314813
1976,Illinois17,republican,George M. O'Brien,0.5821264116481877
1976,Illinois18,republican,Robert H. Michel,0.5772885160049164
1976,Illinois19,republican,Tom Railsback,0.6849833883610021
1976,Illinois20,republican,Paul Findley,0.6357125319076982
1976,Illinois21,republican,Edward R. Madigan,0.7446246637867797
1976,Illinois22,democrat,George E. Shipley,0.6143307543428329
1976,Illinois23,democrat,Melvin Price,0.7862683965680197
1976,Illinois24,democrat,Paul Simon,0.673760559019946
1976,Indiana1,democrat,"Adam Benjamin, Jr.",0.713049773116514
1976,Indiana2,democrat,Floyd J. Fithian,0.5474504875607996
1976,Indiana3,democrat,John Brademas,0.5689966512179169
1976,Indiana4,republican,J. Danforth Quayle,0.5437499684634908
1976,Indiana5,republican,Elwood Hillis,0.6174436046426959
1976,Indiana6,democrat,David W. Evans,0.5491078613070857
1976,Indiana7,republican,John T. Myers,0.626953125
1976,Indiana8,democrat,David L. Cornwell,0.5046290724264672
1976,Indiana9,democrat,Lee H. Hamilton,1.0
