year,state_district,party,candidate,vote_pct
1980,New York34,republican,Frank Horton,0.7291118466041193
1980,New York35,republican,Barber B. Conable Jr.,0.7219557174697636
1980,New York36,democrat,John J. LaFalce,0.6730626703315301
1980,New York37,democrat,Henry J. Nowak,0.7881875508365621
1980,New York38,republican,Jack F. Kemp,0.6904860478595678
1980,New York39,democrat,Stanley N. Lundine,0.5473832190022866
1980,North Carolina1,democrat,Walter B. Jones,1.0
1980,North Carolina2,democrat,L.H. Fountain,0.7342117521794104
1980,North Carolina3,democrat,Charles O. Whitley,0.6829664802221238
1980,North Carolina4,democrat,Ike Andrews,0.5262767357594337
1980,North Carolina5,democrat,Stephen L. Neal,0.5100237730140271
1980,North Carolina6,republican,Eugene Johnston,0.510551287269767
1980,North Carolina7,democrat,Charles G. Rose,0.6874272319418787
1980,North Carolina8,democrat,W.G. (Bill) Hefner,0.585307706523748
1980,North Carolina9,republican,James G. Martin,0.5858681802386193
1980,North Carolina10,republican,James T. Broyhill,0.6970772587180109
1980,North Carolina11,republican,William M. (Bill) Hendon,0.5350686727367698
1980,North Dakota0,democrat,Byron L. Dorgan,0.567897064242722
1980,Ohio1,republican,Willis D. Gradison Jr.,0.7466602479239379
1980,Ohio2,democrat,Thomas A. Luken,0.5872436348770129
1980,Ohio3,democrat,Tony P. Hall,0.5726527995014052
1980,Ohio4,republican,Tennyson Guyer,0.7234312903836275
1980,Ohio5,republican,Delbert L. Latta,0.703636746496017
1980,Ohio6,republican,Bob McEwen,0.5459592611158725
1980,Ohio7,republican,Clarence J. Brown,0.7611610838253959
1980,Ohio8,republican,Thomas N. Kindness,0.7596652009229832
1980,Ohio9,republican,Ed Weber,0.5621465813725547
1980,Ohio10,republican,Clarence E. Miller,0.7436526374743305
1980,Ohio11,republican,J. William Stanton,0.6928609555029573
1980,Ohio12,democrat,Bob Shamansky,0.5255701050269821
1980,Ohio13,democrat,Donald J. Pease,0.6382479534137901
1980,Ohio14,democrat,John F. Seiberling,0.6486961543773305
1980,Ohio15,republican,Chalmers P. Wylie,0.7259484732717053
1980,Ohio16,republican,Ralph Regula,0.7926884062184492
1980,Ohio17,republican,John M. Ashbrook,0.7290264185099281
1980,Ohio18,democrat,Douglas Applegate,0.7609671029239964
1980,Ohio19,republican,Lyle Williams,0.5807361750151923
1980,Ohio20,democrat,Mary Rose Oakar,1.0
1980,Ohio21,democrat,Louis Stokes,0.8822475103668431
1980,Ohio22,democrat,Dennis E. Eckart,0.5520883856046643
1980,Ohio23,democrat,Ronald M. Mottl,0.999958442134135
1980,Oklahoma1,democrat,James R. Jones,0.5836933537035726
1980,Oklahoma2,democrat,Mike Synar,0.539806444751675
1980,Oklahoma3,democrat,Wes Watkins,1.0
1980,Oklahoma4,democrat,Dave McCurdy,0.509980492361798
1980,Oklahoma5,republican,Mickey Edwards,0.6843453149935406
1980,Oklahoma6,democrat,Glenn English,0.646848975526136
1980,Oregon1,democrat,Les AuCoin,0.659458583763993
1980,Oregon2,republican,Denny Smith,0.4878932959126116
1980,Oregon3,democrat,Ron Wyden,0.7192017403862517
1980,Oregon4,democrat,Jim Weaver,0.5480882769288136
1980,Pennsylvania1,foglietta (democrat),Thomas M. Foglietta,0.37784896848524613
1980,Pennsylvania2,democrat,William H. Gray III,0.9641805989622841
1980,Pennsylvania3,democrat,Raymond F. Lederer,0.5452458911145351
1980,Pennsylvania4,republican,Charles F. Dougherty,0.6330386850076972
1980,Pennsylvania5,republican,Richard T. Schulze,0.7511186218377178
1980,Pennsylvania6,democrat,Gus Yatron,0.6709838517937079
1980,Pennsylvania7,democrat,Bob Edgar,0.5313809992300453
1980,Pennsylvania8,republican,James K. Coyne,0.5069123296386013
1980,Pennsylvania9,republican,Bud Shuster,1.0
1980,Pennsylvania10,republican,Joseph M. McDade,0.7655725387375932
1980,Pennsylvania11,republican,James L. Nelligan,0.5191821388167964
1980,Pennsylvania12,democrat,John P. Murtha,0.5938836933724249
1980,Pennsylvania13,republican,Lawrence Coughlin,0.699510081787999
1980,Pennsylvania14,democrat,William J. Coyne,0.6853512805432284
1980,Pennsylvania15,republican,Don Ritter,0.5954628111492025
1980,Pennsylvania16,republican,Robert S. Walker,0.7694063656199601
1980,Pennsylvania17,democrat,Allen E. Ertel,0.6057112834935253
1980,Pennsylvania18,democrat,Doug Walgren,0.6845416224217267
1980,Pennsylvania19,republican,Bill Goodling,0.7603971066988144
1980,Pennsylvania20,democrat,Joseph M. Gaydos,0.7250034142257427
1980,Pennsylvania21,democrat,Don Bailey,0.6844953972042278
1980,Pennsylvania22,democrat,Austin J. Murphy,0.6955610008953396
1980,Pennsylvania23,republican,Bill Clinger,0.7354561019120481
1980,Pennsylvania24,republican,Marc Lincoln Marks,0.4966171120850162
1980,Pennsylvania25,democrat,Eugene V. Atkinson,0.6709242097600583
1980,Rhode Island1,democrat,Fernand J. St Germain,0.6761254199328107
1980,Rhode Island2,republican,Claudine Schneider,0.5530868589173521
1980,South Carolina1,republican,Thomas F. Hartnett,0.516521662435189
1980,South Carolina2,republican,Floyd Spence,0.5572048605871097
1980,South Carolina3,democrat,Butler Derrick,0.597935050941775
1980,South Carolina4,republican,Carroll Campbell,0.9286801123308654
1980,South Carolina5,democrat,Ken Holland,0.8750098662573997
1980,South Carolina6,republican,John L. Napier,0.5177798529080982
1980,South Dakota1,democrat,Thomas A. Daschle,0.6578876485200371
1980,South Dakota2,republican,Clint Roberts,0.583784883034414
1980,Tennessee1,republican,James H. Quillen,0.862150877726975
1980,Tennessee2,republican,John J. Duncan,0.7605473790270759
1980,Tennessee3,democrat,Marilyn Lloyd Bouquard,0.6107277420429235
1980,Tennessee4,democrat,Albert Gore Jr.,0.7928328628219162
1980,Tennessee5,democrat,Bill Boner,0.6537829219582704
1980,Tennessee6,republican,Robin L. Beard Jr.,0.9955957077604252
1980,Tennessee7,democrat,Ed Jones,0.7730262967570226
1980,Tennessee8,democrat,Harold E. Ford,0.9993829793025851
1980,Texas1,democrat,Sam B. Hall Jr.,1.0
1980,Texas2,democrat,Charles Wilson,0.6925080673379729
1980,Texas3,republican,Jim Collins,0.792881693395438
1980,Texas4,democrat,Ralph M. Hall,0.5225518805096033
1980,Texas5,democrat,Jim Mattox,0.5098859999280757
1980,Texas6,democrat,Phil Gramm,0.708774024931602
1980,Texas7,republican,Bill Archer,0.8211807199577927
1980,Texas8,republican,Jack Fields,0.5175277211476307
1980,Texas9,democrat,Jack Brooks,0.9966304284859134
1980,Texas10,democrat,"J.J. """"Jake"""" Pickle",0.5911238580096241
1980,Texas11,democrat,Marvin Leath,1.0
1980,Texas12,democrat,Jim Wright,0.5992139790797509
1980,Texas13,democrat,Jack Hightower,0.5500005567990734
1980,Texas14,democrat,"William N. """"Bill"""" Patman",0.5676899727293067
1980,Texas15,democrat,"E. """"Kika"""" de la Garza",0.7002293654223315
1980,Texas16,democrat,"Richard C. """"Dick"""" White",0.8463763899663822
1980,Texas17,democrat,Charles W. Stenholm,1.0
1980,Texas18,democrat,Mickey Leland,0.7989810868407032
1980,Texas19,democrat,Kent Hance,0.93507797731569
1980,Texas20,democrat,Henry B. Gonzalez,0.8191361932122511
1980,Texas21,republican,Tom Loeffler,0.7650578007665223
1980,Texas22,republican,Ron Paul,0.5103774892354158
1980,Texas23,democrat,"Abraham """"Chick"""" Kazen Jr.",0.6983242088396314
1980,Texas24,democrat,Martin Frost,0.6129057581347882
1980,Utah1,republican,James V. Hansen,0.5209768876214478
1980,Utah2,republican,Dan Marriott,0.6702491702921604
1980,Vermont0,republican,James Merrill Jeffords,0.7923799544933923
1980,Virginia1,republican,Paul S. Trible Jr.,0.9046920515298355
1980,Virginia2,republican,G. Wiliam Whitehurst,0.8983734583856436
1980,Virginia3,republican,"Thomas J. """"Tom"""" Bliley Jr.",0.5164141414141414
1980,Virginia4,republican,"Robert W. """"Bob"""" Daniel Jr.",0.6069550277387963
1980,Virginia5,democrat,W.C. (Dan) Daniel,0.9993316580227771
1980,Virginia6,republican,M. Caldwell Butler,0.9917997792867902
1980,Virginia7,republican,J. Kenneth Robinson,0.9968731302886122
1980,Virginia8,republican,"Stanford E. """"Stan"""" Parris",0.48813407045539237
1980,Virginia9,republican,William C. Wampler,0.6935483870967742
1980,Virginia10,republican,Frank R. Wolf,0.5113867050529657
1980,Washington1,republican,Joel Pritchard,0.7828563248804948
1980,Washington2,democrat,Al Swift,0.6385875563684525
1980,Washington3,democrat,Don Bonker,0.6266872472646295
1980,Washington4,republican,Sid Morrison,0.5736291816613786
1980,Washington5,democrat,Thomas S. Foley,0.5190001507094107
1980,Washington6,democrat,Norman D. Dicks,0.5363687543368872
1980,Washington7,democrat,Mike Lowry,0.5726406381618341
1980,West Virginia1,democrat,Robert H. Mollohan,0.6362656815208189
1980,West Virginia2,republican,Cleve Benedict,0.5594982176385752
1980,West Virginia3,republican,Mick Staton,0.5267399185801084
1980,West Virginia4,democrat,Nick Joe Rahall II,0.7655176903297204
1980,Wisconsin1,democrat,Les Aspin,0.5623813724703932
1980,Wisconsin2,democrat,Robert Kastenmeier,0.5397814074744051
1980,Wisconsin3,republican,Steven Gunderson,0.5099162507532796
1980,Wisconsin4,democrat,Clement J. Zablocki,0.7001898259052591
1980,Wisconsin5,democrat,Henry S. Reuss,0.7702742869371887
1980,Wisconsin6,republican,Thomas E. Petri,0.5934603130113638
1980,Wisconsin7,democrat,David Obey,0.6467354303502068
1980,Wisconsin8,republican,Toby Roth,0.6766908896564378
1980,Wisconsin9,republican,F. James Sensenbrenner Jr.,0.7838976125042287
1980,Wyoming0,republican,Dick Cheney,0.6856905462023937
1982,Alabama1,republican,Jack Edwards,0.6103049407059739
1982,Alabama2,republican,Bill Dickinson,0.5041950676174679
1982,Alabama3,democrat,Bill Nichols,0.9625897083524202
1982,Alabama4,democrat,Tom Bevill,0.999898825533063
1982,Alabama5,democrat,Ronnie G. Flippo,0.8066948398576512
1982,Alabama6,democrat,Ben Erdreich,0.5322606976364527
1982,Alabama7,democrat,Richard C. Shelby,0.9682454209881457
1982,Alaska0,republican,Don Young,0.7083673875107684
1982,Arizona1,republican,John McCain,0.6590104047268667
1982,Arizona2,democrat,Morris K. Udall,0.7086444045758821
1982,Arizona3,republican,Bob Stump,0.6331126987900552
1982,Arizona4,republican,Eldon Rudd,0.6573357348108837
1982,Arizona5,democrat,Jim McNulty,0.4972242539058285
1982,Arkansas1,democrat,Bill Alexander,0.6481488245884103
1982,Arkansas2,republican,Ed Bethune,0.5385724144071947
1982,Arkansas3,republican,John Paul Hammerschmidt,0.6596567453866541
1982,Arkansas4,democrat,"Berly Anthony, Jr.",0.6557320311274788
1982,California1,democrat,Douglas H. Bosco,0.49845489114846925
1982,California2,republican,Gene Chappie,0.5790879907483102
1982,California3,democrat,Robert T. Matsui,0.8963332658060001
1982,California4,democrat,Vic Fazio,0.6386054559272974
1982,California5,democrat,Phillip Burton,0.5791454256888245
1982,California6,democrat,Barbara Boxer,0.5236167854659249
1982,California7,democrat,George Miller,0.6721695990342512
1982,California8,democrat,Ronald V. Dellums,0.5594827625891332
1982,California9,democrat,Fortney H. (Pete) Stark,0.6066010052587234
1982,California10,democrat,Don Edwards,0.6267226904389159
1982,California11,democrat,Tom Lantos,0.5708315139417379
1982,California12,republican,Ed Zschau,0.629694118160779
1982,California13,democrat,Norman Y. Mineta,0.6589103494208035
1982,California14,republican,Norman D. Shumway,0.6342587123449498
1982,California15,democrat,Tony Coelho,0.636997104625934
1982,California16,democrat,Leon E. Panetta,0.8536731347035517
1982,California17,republican,"Charles Pashayan, Jr.",0.5400544959128065
1982,California18,democrat,Richard Lehman,0.5949065909047182
1982,California19,republican,"Robert J. """"Bob"""" Lagomarsino",0.6105207168676661
1982,California20,republican,William M. Thomas,0.6809770213329946
1982,California21,republican,Bobbi Fiedler,0.7183490950214507
1982,California22,republican,Carlos J. Moorhead,0.7356953314970084
1982,California23,democrat,Anthony C. Beilenson,0.5955457821998925
1982,California24,democrat,Henry A. Waxman,0.6505228964716431
1982,California25,democrat,Edward R. Roybal,0.8549888175456316
1982,California26,democrat,Howard L. Berman,0.5957786546755988
1982,California27,democrat,Mel Levine,0.5946042356091913
1982,California28,democrat,Julian . Dixon,0.7889243015737465
1982,California29,democrat,Augustus F. (Gus) Hawkins,0.7979538800618441
1982,California30,democrat,Matthew G. Martinez,0.5385914646009091
1982,California31,democrat,Mervyn M. Dymally,0.7240921501991466
1982,California32,democrat,Glenn M. Anderson,0.5798875334762567
1982,California33,republican,David Dreier,0.651940818102698
1982,California34,democrat,Esteban Ed Torres,0.5724388731544636
1982,California35,republican,Jerry Lewis,0.6829927029400188
1982,California36,democrat,"George E. Brown, Jr.",0.5432377383664403
1982,California37,republican,Al McCandless,0.5906775658900782
1982,California38,democrat,Jerry M. Patterson,0.523536994801037
1982,California39,republican,William E. (Bill) Dannemeyer,0.7221807193987914
1982,California40,republican,Robert E. Badham,0.7154166666666667
1982,California41,republican,Bill Lowery,0.6887315013688127
1982,California42,republican,Dan Lungren,0.689909151939879
1982,California43,republican,Ron Packard,0.36763013456090654
1982,California44,democrat,Jim Bates,0.6494847920546245
1982,California45,republican,Duncan Hunter,0.6856798518846283
1982,Colorado1,democrat,Patricia Schroeder,0.602606648603717
1982,Colorado2,democrat,Timothy E. Wirth,0.6184091520203379
1982,Colorado3,democrat,Ray Kogovsek,0.5343575031234093
1982,Colorado4,republican,Hank Brown,0.6976206212822208
1982,Colorado5,republican,Ken Kramer,0.5954634844330413
1982,Colorado6,republican,Jack Swigert,0.6216313037357333
1982,Connecticut1,democrat,Barbara Bailey Kennelly,0.6813067540701736
1982,Connecticut2,democrat,Samuel Gejdenson,0.5576834130548058
1982,Connecticut3,democrat,Bruce A. Morrison,0.49952328202415003
1982,Connecticut4,republican,Stewart B. McKinney,0.5645671711965858
1982,Connecticut5,democrat,William R. Ratchford,0.5846469750191783
1982,Connecticut6,republican,Nancy L. Johnson,0.5166708123458326
1982,Delaware0,democrat,Thomas R. Carper,0.5239333418410754
1982,Florida1,democrat,Earl Hutto,0.7442537542139136
1982,Florida2,democrat,Don Fuqua,0.6171282867034715
1982,Florida3,democrat,Charles E. Bennett,0.8408184656048489
1982,Florida4,democrat,Bill Chappell,0.6692753206969175
1982,Florida5,republican,Bill McCollum,0.587865247809983
1982,Florida6,democrat,Buddy MacKay,0.6134870654838918
1982,Florida7,democrat,Sam M. Gibbons,0.7422475057192314
1982,Florida8,republican,C. W. Bill Young,1.0
1982,Florida9,republican,Michael Bilirakis,0.5115105899581139
1982,Florida10,democrat,Andy Ireland,1.0
1982,Florida11,democrat,Bill Nelson,0.7057460740247489
1982,Florida12,republican,Tom Lewis,0.5256087698804924
1982,Florida13,republican,Connie Mack,0.6511141583818992
1982,Florida14,democrat,Dan Mica,0.7300886462436013
1982,Florida15,republican,"E. Clay Shaw, Jr.",0.5706440690983801
1982,Florida16,democrat,Larry Smith,0.6789118259867303
1982,Florida17,democrat,William Lehman,1.0
1982,Florida18,democrat,Claude Pepper,0.7120113633000917
1982,Florida19,democrat,Dante B. Fascell,0.5884654065140441
1982,Georgia1,democrat,Lindsay Thomas,0.6407127166219185
1982,Georgia2,democrat,Charles Hatcher,0.9998917529260537
1982,Georgia3,democrat,Richard Ray,0.7095682269827234
1982,Georgia4,democrat,Elliiott H. Levitas,0.6548729386320628
1982,Georgia5,democrat,"Wyche Fowler, Jr.",0.8075809263892048
1982,Georgia6,republican,Newt Gingrich,0.5527071588128922
1982,Georgia7,democrat,Larry McDonald,0.6111973657271549
1982,Georgia8,democrat,J. Roy Rowland,0.99965349503565
1982,Georgia9,democrat,Ed Jenkins,0.7695468858408496
1982,Georgia10,democrat,"Doug Barnard, Jr.",0.9998506031896219
1982,Hawaii1,democrat,Cecil L. Heftel,0.8990840988079276
1982,Hawaii2,democrat,Daniel K. Akaka,0.8923301443165235
1982,Idaho1,republican,Larry Craig,0.5369993464662497
1982,Idaho2,republican,George Hansen,0.5226350782958731
1982,Illinois1,democrat,Harold Washington,0.9728336207188018
1982,Illinois2,democrat,Gus Savage,0.8704092858820476
1982,Illinois3,democrat,Martin A. Russo,0.7400179899708605
1982,Illinois4,republican,George M. O'Brien,0.5462195222067153
1982,Illinois5,democrat,William O. Lipinski,0.7541654706742663
1982,Illinois6,republican,Henry J. Hyde,0.6839377514528386
1982,Illinois7,democrat,Cardiss Collins,0.8645192096738807
1982,Illinois8,democrat,Dan Rostenkowski,0.834432996610397
1982,Illinois9,democrat,Sidney R. Yates,0.6650945321199331
1982,Illinois10,republican,John Edward Porter,0.5897912496425508
1982,Illinois11,democrat,Frank Annunzio,0.7255737069383271
1982,Illinois12,republican,Philip M. Crane,0.661716436752588
1982,Illinois13,republican,John N. Erlenborn,0.697858856826432
1982,Illinois14,republican,Tom Corcoran,0.6456958864502563
1982,Illinois15,republican,Edward R. Madigan,0.6633532056787753
1982,Illinois16,republican,Lynn Martin,0.5720565370120355
1982,Illinois17,democrat,Lane Evams,0.5281714154745734
1982,Illinois18,republican,Robert H. Michel,0.5162114322659968
1982,Illinois19,republican,Daniel B. Crane,0.5208772739256525
1982,Illinois20,democrat,Richard J. Durbin,0.5035155840067164
1982,Illinois21,democrat,Melvin Price,0.636521392808375
1982,Illinois22,democrat,Paul Simon,0.6615589500032091
1982,Indiana1,democrat,Katie Hall,0.5633220714912055
1982,Indiana2,democrat,Philip R. Sharp,0.5620904076148169
1982,Indiana3,republican,John P. Hiler,0.5115056116326675
1982,Indiana4,republican,Dan Coats,0.643202607507097
1982,Indiana5,republican,Elwood H. (Bud) Hillis,0.6106816747439304
1982,Indiana6,republican,Dan Burton,0.6494471525383426
1982,Indiana7,republican,John T. Myers,0.6225870748335868
1982,Indiana8,democrat,Francis X. McCloskey,0.513945586920424
1982,Indiana9,democrat,Lee Herbert Hamilton,0.670735962866749
1982,Indiana10,democrat,"Andrew Jacobs, Jr.",0.6672407673553935
1982,Iowa1,republican,Jim Leach,0.5920035416473947
1982,Iowa2,republican,Tom Tauke,0.5884983760951744
1982,Iowa3,republican,Cooper Evans,0.5545331024377248
1982,Iowa4,democrat,Neal Smith,0.660374947214011
1982,Iowa5,democrat,Tom Harkin,0.5886177733771435
1982,Iowa6,democrat,Berkley Bedell,0.6428589490719668
1982,Kansas1,republican,Pat Roberts,0.6843667409671679
1982,Kansas2,democrat,Jim Slattery,0.5743669622174296
1982,Kansas3,republican,"Larry Winn, Jr.",0.5920646593989733
1982,Kansas4,democrat,Dan Glickman,0.7393278086617482
1982,Kansas5,republican,Bob Whittaker,0.6762690943763429
1982,Kentucky1,democrat,"Carroll Hubbard, Jr.",0.999731154999483
1982,Kentucky2,democrat,William H. Natcher,0.7383449015460692
1982,Kentucky3,democrat,Romano L. Mazzoli,0.6511287053724832
1982,Kentucky4,republican,Gene Snyder,0.5419305301645339
1982,Kentucky5,republican,"Harold """"Hal"""" Rogers",0.6516862233276285
1982,Kentucky6,republican,Larry J. Hopkins,0.5684446660019941
1982,Kentucky7,democrat,Carl D. Perkins,0.793684251051502
1982,Louisiana1,republican,"Robert L. """"Bob"""" Livingston",1.0
1982,Louisiana2,democrat,"Lindy """"Mrs. Hale"""" Boggs",1.0
1982,Louisiana3,democrat,"W. J. """"Billy"""" Tauzin",1.0
1982,Louisiana4,democrat,"Charles """"Buddy"""" Roemer",1.0
1982,Louisiana5,democrat,"""""Jerry"""" Huckaby",1.0
1982,Louisiana6,republican,W. Henson Moore,1.0
1982,Louisiana7,democrat,John B. Breaux,1.0
1982,Louisiana8,democrat,Gillis W. Long,1.0
1982,Maine1,republican,"John R. McKernan, Jr.",0.5034984776077269
1982,Maine2,republican,Olympia J. Snowe,0.666459329206175
1982,Maryland1,democrat,Roy Dyson,0.692967582591999
1982,Maryland2,democrat,Clarence D. Long,0.5260638969566864
1982,Maryland3,democrat,Barbara A. Mikulski,0.7420179230079366
1982,Maryland4,republican,Marjorie S. Holt,0.6119662684924412
1982,Maryland5,democrat,Steny H. Hoyer,0.7958376789608419
1982,Maryland6,democrat,Beverly B. Byron,0.7438966914883589
1982,Maryland7,democrat,Parren J. Mitchell,0.8793277767865487
1982,Maryland8,democrat,Michael D. Barnes,0.7134252450621371
1982,Massachusetts1,democrat,Silvio O. Conte,0.9946647332024597
1982,Massachusetts2,democrat,Edward P. Boland,0.726256811633379
1982,Massachusetts3,democrat,Joseph D. Early,0.9990962589323245
1982,Massachusetts4,democrat,Barney Frank,0.5952740512670137
1982,Massachusetts5,democrat,James M. Shannon,0.8464896919044916
1982,Massachusetts6,democrat,Nicholas Mavroules,0.5782527114115058
1982,Massachusetts7,democrat,Edward J. Markey,0.7784420355097778
1982,Massachusetts8,democrat,"Thomas P. O'Neil, Jr.",0.7487368830159347
1982,Massachusetts9,democrat,John Joseph Moakley,0.6407551880168513
1982,Massachusetts10,democrat,Gerry E. Studds,0.687156218352231
1982,Massachusetts11,democrat,Brian J. Donnelly,0.9998265779670775
1982,Michigan1,democrat,"John Conyers, Jr.",0.9666307277628032
1982,Michigan2,republican,Carl D. Pursell,0.6545338832658156
1982,Michigan3,democrat,Howard Wolpe,0.5631625775611911
1982,Michigan4,republican,Mark D. Siljander,0.5967668224139695
1982,Michigan5,republican,Harold S. Sawyer,0.5307158881219705
1982,Michigan6,democrat,Bob Carr,0.5138465454854019
1982,Michigan7,democrat,Dale E. Kildee,0.7537995853841556
1982,Michigan8,democrat,Bob Traxler,0.9100347130362282
1982,Michigan9,republican,Guy Vander Jagt,0.6486661016265085
1982,Michigan10,democrat,Don Albosta,0.6013896173543053
1982,Michigan11,republican,Bob Davis,0.6051694421933319
1982,Michigan12,democrat,David E. Bonior,0.6586855591637913
1982,Michigan13,democrat,"Geo. W. Crockett, Jr.",0.8795080969195178
1982,Michigan14,democrat,Dennis M. Hertel,0.9494996452252208
1982,Michigan15,democrat,William D. Ford,0.7280939198981665
1982,Michigan16,democrat,John D. Dingell,0.7366822611078084
1982,Michigan17,democrat,Sander Levin,0.6661784818782768
1982,Michigan18,republican,William S. Broomfield,0.7332038706402887
1982,Minnesota1,democrat,Timothy J. (Tim) Penny,0.5116944548520045
1982,Minnesota2,republican,Vin Weber,0.5446855802179483
1982,Minnesota3,republican,Bill Frenzel,0.721500490681377
1982,Minnesota4,democrat,Bruce F. Vento,0.7318229062371866
1982,Minnesota5,democrat,Martin Olav Sabo,0.655469844376643
1982,Minnesota6,democrat,Gerry Sikorski,0.5081682016931808
1982,Minnesota7,republican,Arlan Stangeland,0.5027680246707166
1982,Minnesota8,democrat,James L. Oberstar,0.7673921839040455
1982,Mississippi1,democrat,Jamie L. Whitten,0.708826771933568
1982,Mississippi2,republican,Webb Franklin,0.5034725744388766
1982,Mississippi3,democrat,G.V. (Sonny) Montgomery,0.9307674178579265
1982,Mississippi4,democrat,Wayne Dowdy,0.5254178272980501
1982,Mississippi5,republican,Trent Lott,0.7854963134251975
1982,Missouri1,democrat,William (Bill) Clay,0.661208978776851
1982,Missouri2,democrat,Robert A. Young,0.5654786956448544
1982,Missouri3,democrat,Richard A. Gephardt,0.7787089977153545
1982,Missouri4,democrat,Ike Skelton,0.5478053798457543
1982,Missouri5,democrat,Alan Wheat,0.5787070227545199
1982,Missouri6,republican,Tom Coleman,0.5534889237825198
1982,Missouri7,republican,Gene Taylor,0.5050900851110866
1982,Missouri8,republican,Bill Emerson,0.5309380869949542
1982,Missouri9,democrat,Harold L. Volkmer,0.6081264938407795
1982,Montana1,democrat,Pat Williams,0.5971706781541987
1982,Montana2,republican,Ron Marienee,0.5369250085606666
1982,Nebraska1,republican,Doug Bereuter,0.7508125736224422
1982,Nebraska2,republican,Hal Daub,0.5671231534934404
1982,Nebraska3,republican,Virginia Smith,0.9970353438072915
1982,Nevada1,democrat,Harry Reid,0.575416449765747
1982,Nevada2,republican,Barbara Vucanovich,0.554863394889957
1982,New Hampshire1,democrat,Norman E. D'Amours,0.5491357775842086
1982,New Hampshire2,republican,Judd Gregg,0.7084080087995261
1982,New Jersey1,democrat,James J. Florio,0.7327806164714926
1982,New Jersey2,democrat,William J. Hughes,0.680390132867503
1982,New Jersey3,democrat,James J. Howard,0.6230987568564517
1982,New Jersey4,republican,Christopher H. Smith,0.5268304683415849
1982,New Jersey5,republican,Marge Roukema,0.6528829244565285
1982,New Jersey6,democrat,Bernard J. Dwyer,0.6811115482181858
1982,New Jersey7,republican,Matthew J. Rinaldo,0.5596097715542718
1982,New Jersey8,democrat,Robert A. Roe,0.706850907719742
1982,New Jersey9,democrat,Robert G. Torricelli,0.5302361421026439
1982,New Jersey10,democrat,"Peter W. Rodino, Jr.",0.8258734329901348
1982,New Jersey11,democrat,Joseph G. Minish,0.643015885579985
1982,New Jersey12,republican,Jim Courter,0.6675639834062521
1982,New Jersey13,republican,Edwin B. Forsythe,0.5946949885888171
1982,New Jersey14,democrat,Frank J. Guarini,0.74262673175047
1982,New Mexico1,republican,"Manuel Lujan, Jr.",0.5243850048946075
1982,New Mexico2,republican,Joseph R. Skeen,0.5839582305541852
1982,New Mexico3,democrat,Bill Richardson,0.6448858659639127
1982,New York1,republican,William Carney,0.5287456256656595
1982,New York2,democrat,Thomas J. Downey,0.6201622577182903
1982,New York3,democrat,Robert J. Mrazek,0.5181054805032766
1982,New York4,republican,Norman F. Lent,0.5164441232477573
1982,New York5,republican,Raymond J. McGrath,0.5091909212900838
1982,New York6,democrat,Joseph P. Addabbo,0.7657221491206043
1982,New York7,democrat,Benjamin S. Rosenthal,0.732610593045156
1982,New York8,democrat,James H. Scheuer,0.8486024314864825
1982,New York9,democrat,Geraldine Ferraro,0.7322116319782144
1982,New York10,democrat,Charles E. Schumer,0.756114974746807
1982,New York11,democrat,Edolphus Towns,0.8372048500319081
1982,New York12,democrat,Major R. Owens,0.8607767108548692
1982,New York13,democrat,Stephen J. Solarz,0.7681193468812405
1982,New York14,republican,Guy V. Molinari,0.4360523916107104
1982,New York15,republican,Bill Green,0.5034277029539685
1982,New York16,democrat,Charles B. Rangel,0.7395712740919789
1982,New York17,democrat,Ted Weiss,0.7316604057099925
1982,New York18,democrat,Robert Garcia,0.8790059655937846
1982,New York19,democrat,Mario Biaggi,0.6148945397200868
1982,New York20,democrat,Richard L. Ottinger,0.5649206786509631
1982,New York21,republican,"Hamilton Fish, Jr.",0.6597704388819143
1982,New York22,republican,Benjamin A. Gilman,0.5293942141078457
1982,New York23,democrat,Samuel S. Stratton,0.7609437114442136
1982,New York24,republican,Gerald B. Solomon,0.6646094330573372
1982,New York25,republican,Sherwood L. Boehlert,0.557889310483315
1982,New York26,republican,David O'B. Martin,0.6690674903068936
1982,New York27,republican,George C. Wortley,0.531793778531805
1982,New York28,democrat,Matt McHugh,0.5433143586385236
1982,New York29,republican,Frank Horton,0.6640083945435467
1982,New York30,republican,"Barber B. Conable, Jr.",0.6820810903676555
1982,New York31,republican,Jack F. Kemp,0.6839401032119794
1982,New York32,democrat,John J. LaFalce,0.8807219173673096
1982,New York33,democrat,Henry J. Novak,0.8118178120645165
1982,New York34,democrat,Stanley N. Lundine,0.6020208131655372
1982,North Carolina1,democrat,Walter B. Jones,0.8130198694352362
1982,North Carolina2,democrat,"I. T. (Tim) Valentine, Jr.",0.5355173095233818
1982,North Carolina3,democrat,Charles O. Whitley,0.6355129847980604
1982,North Carolina4,democrat,Ike Andrews,0.5134774233093021
1982,North Carolina5,democrat,Stephen L. (Steve) Neal,0.6027095472420679
1982,North Carolina6,democrat,Robin Britt,0.5382897530931915
1982,North Carolina7,democrat,Charles G. Rose,0.7098949592889552
1982,North Carolina8,democrat,W.G. (Bill) Hefner,0.5738126110550833
1982,North Carolina9,republican,James G. Martin,0.5700796198109694
1982,North Carolina10,republican,James T. (Jim) Broyhill,0.9271177117711771
