year,NAME,state,congressional district,state_name,state_district,Total population,Median household income,Per capita income,Median housing value,Gini index of income inequality,Median gross rent,Median age,Median income,Income in the past 12 months below poverty level,Income in the past 12 months at or above poverty level:,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Aggregate income deficit in the past 12 months,Aggregate household income in the past 12 months (in 2016 inflation-adjusted dollars),Male PCT,Female PCT,White alone PCT,Black or African American alone PCT,American Indian & Alaska Native alone PCT,Asian alone PCT,Native Hawaiian & Other Pacific Islander alone PCT,Some other race alone PCT, Two or more races PCT,Hispanic or Latino (any race) PCT,Speak only English PCT,Total not enrolled in school PCT,Total enrolled in public school PCT,Total enrolled in private school PCT,"Males 12th grade, no diploma PCT",Males Highschool diploma PCT,Males Bachelor's degree PCT,"Females 12th grade, no diploma PCT",Females Highschool diploma PCT,Females Bachelor's degree PCT,Males unemployed PCT,"$200,000 or more PCT","Less than $10,000 PCT",Veteran PCT,"Agriculture, forestry, fishing and hunting, and mining PCT","Finance and insurance, and real estate and rental and leasing PCT","Professional, scientific, and management, and administrative and waste management services PCT"
2010,"Congressional District 3 (111th Congress), Arizona",4,3,Arizona,Arizona3,691893,52327,30948,216400,0.489,855,37.9,30117.0,74873,512885,154103,132480400.0,20887579900,0.4903258162750599,0.5096741837249401,0.8561034726467821,0.032110456385597196,0.010813810806006132,0.032282448297641396,0.0009047641759636244,0.04030681044612389,0.027478237241885667,0.17537249256749238,,2.835982646470815,0.8179146957659001,0.1820853042340998,0.01679617613287404,0.21890215137030805,0.22851967564776984,0.016547875009689645,0.24059288392416373,0.21675839531306734,0.010620310975980766,0.06192393810089438,0.06802031297207588,0.0939725679788058,0.0038223473148159192,0.1223330033751148,0.13478097532469083
2010,"Congressional District 4 (111th Congress), Arizona",4,4,Arizona,Arizona4,708666,31498,14246,100000,0.48100000000000004,747,28.7,20248.0,162600,309397,214223,529499300.0,9495679800,0.5141307752876532,0.48586922471234684,0.6813463606268679,0.10330536529197111,0.02400990029153367,0.021282240152624792,0.0030508024936994295,0.1404836693167162,0.026521661826586856,0.630476134032111,,2.1995457775558416,0.9409750897881576,0.05902491021184243,0.032582985098162896,0.3018311913585114,0.08898229914058188,0.02942612054999377,0.2765494537448594,0.08777468533211481,0.02526961302600973,0.013947509784360372,0.1476543115135702,0.056183369091358466,0.003605815932422036,0.06153977665700453,0.1337765482083602
2010,"Congressional District 5 (111th Congress), Arizona",4,5,Arizona,Arizona5,660446,55876,34476,260200,0.489,883,37.4,30455.0,66244,476963,125405,140549200.0,22292107700,0.49569987553865114,0.5043001244613489,0.8339500882736818,0.04209730999960633,0.02585979777302005,0.04652613536912935,0.005157121096955693,0.01675382998761443,0.02965571749999243,0.16036890222667713,0.8183113222496282,2.46023849863862,0.8645007280541738,0.13549927194582628,0.012072865374054043,0.17864489765523917,0.2941655574275582,0.01216165948228704,0.18581212664930746,0.25384564889170913,0.011030023889654864,0.07435917817503315,0.06466161009751954,0.08745333697532551,0.0026203515991406697,0.08863203122636086,0.13855789887742442
2010,"Congressional District 6 (111th Congress), Arizona",4,6,Arizona,Arizona6,970648,56691,25684,177300,0.408,943,35.8,28326.0,79220,708896,255804,176762500.0,24179295800,0.48710037006206164,0.5128996299379384,0.8173065828189003,0.03790560532757498,0.01476333336080639,0.043918083589519576,0.002070781580964469,0.05849391334448739,0.025541699977746826,0.20831959680543308,0.8145604917150393,2.4003003277968027,0.8944604171626348,0.10553958283736517,0.010534474624250185,0.23549235020556716,0.21482442542292918,0.014755074358455014,0.25451889496522984,0.16956980733702823,0.00938471006358357,0.033128306564695204,0.04328255082202638,0.11055661805721571,0.0045417749162242555,0.08789158100832109,0.1114993975676795
2010,"Congressional District 7 (111th Congress), Arizona",4,7,Arizona,Arizona7,866463,39777,16736,121700,0.424,765,31.1,20230.0,128840,487863,235391,324555500.0,14029629700,0.498455213898343,0.501544786101657,0.7341132858529447,0.03731607697039573,0.054527429330508054,0.015080851692455419,0.0013422385029712752,0.13171710736638495,0.025903010284339896,0.5642006640791355,,2.195309930705213,0.9261358580211327,0.07386414197886722,0.023970473351083335,0.27513830652232835,0.09899080082266473,0.024961901271243658,0.2829105499720288,0.0945002797121858,0.015575148814281056,0.008756648781734142,0.09257426892434906,0.09550875702522546,0.032306901970264715,0.0405898706636045,0.09465429711108425
2010,"Congressional District 8 (111th Congress), Arizona",4,8,Arizona,Arizona8,749188,49825,27961,196900,0.445,801,43.1,26643.0,77677,553829,147083,138915800.0,20344147700,0.49486243773258515,0.5051375622674149,0.8577313037582022,0.03435986694928376,0.00949561391800189,0.028525550329156366,0.0012546917462639552,0.03935727747908402,0.029275695820007795,0.226152848150264,,2.903561670412106,0.8659941043010578,0.1340058956989421,0.012193353426955503,0.20938390445992186,0.21119468211445525,0.013312720400286747,0.21529532733289405,0.19987545347245855,0.011113560226073876,0.030208920486571995,0.06856373984035492,0.1539533102927251,0.010244195581818978,0.0553618489004626,0.13468941902609718
2010,"Congressional District 1 (111th Congress), Arkansas",5,1,Arkansas,Arkansas1,688562,33862,18682,88900,0.457,579,38.8,18116.0,94715,445586,154102,259414700.0,12375982500,0.49251193066129123,0.5074880693387088,0.8070442458340716,0.1679325899483271,0.003523284758670969,0.0033809591583619193,0.00023527293112312326,0.004311884768546623,0.013571762600898684,0.025124825360679212,,2.865077460625889,0.9148255014309877,0.08517449856901224,0.017301006858178637,0.3890494591462672,0.0837139675081951,0.014856427350716595,0.3594011743007496,0.10089849236027683,0.011898161071618403,0.0132364831964119,0.10467230434530111,0.11666874622081026,0.053339453418140226,0.03980969450576672,0.05195879142896694
2010,"Congressional District 2 (111th Congress), Arkansas",5,2,Arkansas,Arkansas2,753672,43685,23889,127800,0.45899999999999996,720,36.1,23840.0,70554,477795,167519,206097700.0,17378604500,0.48745475485357026,0.5125452451464297,0.7446700952138331,0.2144527062170281,0.0042936449808404714,0.013070672653355837,6.634185693511235e-05,0.011284749864662613,0.012161789213344798,0.05323535967901156,,2.5903493664352117,0.8451550781967352,0.15484492180326487,0.019688697135148207,0.32185780526813706,0.1869641395050887,0.01535412425195879,0.29969075822074154,0.15802177802455425,0.010572169656740042,0.029678097537292492,0.06564992940149393,0.11412474439064839,0.01849776609105642,0.059425801574766096,0.08893575342586628
2010,"Congressional District 3 (111th Congress), Arkansas",5,3,Arkansas,Arkansas3,825495,40674,21181,127600,0.45299999999999996,640,35.2,21567.0,104839,588651,199083,221654600.0,16990772800,0.49157899199874017,0.5084210080012599,0.8627465944675619,0.02639870623080697,0.011480384496574783,0.021806310153301957,0.005769871410487041,0.04428615557937964,0.027511977661887715,0.1186681930235798,,2.525671566030091,0.9200621585398977,0.07993784146010233,0.01609991973532233,0.3154910827900785,0.15678236526301365,0.012163785932156392,0.3438284499491635,0.14705610500046215,0.0074973333808839885,0.020929871386933547,0.0772039569917328,0.1102519742302418,0.03270377224812842,0.0378167672832971,0.06398517285317515
2010,"Congressional District 4 (111th Congress), Arkansas",5,4,Arkansas,Arkansas4,653877,35312,18651,80800,0.45,596,39.8,18481.0,68560,379136,138616,230899500.0,11655394500,0.4871481945381165,0.5128518054618835,0.7043603001787798,0.2528915988786882,0.005331277900889617,0.004679779224533055,0.00017587405582395466,0.02042585990943251,0.012135309851852872,0.04173873679606409,,2.861551098469988,0.9257735876814437,0.0742264123185563,0.023209340831882155,0.39358341183971374,0.10399954323560479,0.018663364185460392,0.36042671533481074,0.10316342936601051,0.011381209501079305,0.013925094503572594,0.08291962076809405,0.10836151552218998,0.050619357224293594,0.03493898869133824,0.0615043293378116
2010,"Congressional District 1 (111th Congress), California",6,1,California,California1,710852,48003,25434,337600,0.469,1002,37.1,23030.0,76655,459083,148300,141792300.0,17395109300,0.49506648359996175,0.5049335164000383,0.7788498871776404,0.018085339845706278,0.029122799119929325,0.05918109536162239,0.003974104314259508,0.07157326700916647,0.03921350717167568,0.23972500604907912,,2.415087125143388,0.884137711853886,0.115862288146114,0.02185570142904382,0.2405065553698623,0.17386252938074767,0.013999856800502041,0.22532441003912715,0.17851923295610092,0.011293426703121608,0.04142760027192386,0.05671878540675278,0.09247529265363412,0.04593102582484564,0.05344358805786721,0.08346410389404446
2010,"Congressional District 2 (111th Congress), California",6,2,California,California2,707923,42249,21649,221500,0.439,853,37.6,20787.0,97120,469628,155965,189154700.0,14782634300,0.4972122674358652,0.5027877325641348,0.8133271556369831,0.012297947658149263,0.015231882563499138,0.04397088383906159,0.0031189832792549474,0.05915473858032583,0.052898408442726114,0.18856005526024722,,2.459470410664722,0.8934388865252537,0.10656111347474624,0.02818978037938471,0.2653668412481845,0.14397253642005192,0.01976266256349725,0.23654912210442003,0.13378159054022723,0.01970727609725811,0.018897121500229493,0.06528970777872489,0.11687347406657536,0.0688282075109066,0.053915367017842414,0.09108924193060827
2010,"Congressional District 3 (111th Congress), California",6,3,California,California3,790923,61853,28100,264700,0.41,1047,38.3,29448.0,53671,481042,180314,136706500.0,21768094600,0.5020223207568878,0.49797767924311215,0.6919750721625241,0.06391393346760683,0.008731570582724234,0.108062352466675,0.012146567997137522,0.0572761191670997,0.05789438415623265,0.1610422253493703,0.7654419224840552,2.453670189662661,0.838768640509628,0.1612313594903721,0.031450931686601534,0.22243607792919104,0.18253806010159646,0.018100831488278145,0.21342777028969545,0.19872831204519234,0.012350331854717672,0.03869411965796172,0.03123801780409947,0.10160895476465985,0.011394408299630737,0.07639939042260126,0.10670828204677334
2010,"Congressional District 4 (111th Congress), California",6,4,California,California4,774590,60629,29821,336600,0.435,1042,41.4,28615.0,67287,582699,168553,127855500.0,22525970300,0.504270646406486,0.495729353593514,0.8507210266076247,0.013191494855342826,0.014361145896538814,0.0434655753366297,0.0031758736880155955,0.0337778695826179,0.041307014033230484,0.12187479828038059,,2.7043683286309017,0.8786378075488823,0.12136219245111773,0.01565858727580347,0.2432032952810405,0.2004704328807824,0.01576379331915426,0.22323209278707104,0.20485203965234286,0.010727969348659003,0.049028915375538586,0.048191011365514486,0.12012650881497501,0.014081947571541653,0.07847328526415971,0.11482700949576648
2010,"Congressional District 5 (111th Congress), California",6,5,California,California5,694153,43953,21948,205000,0.451,940,33.1,22431.0,64201,300529,170067,274007200.0,14965109900,0.4832320828405265,0.5167679171594735,0.5312171812266172,0.1348722831998133,0.011019184531364122,0.17040911729834776,0.008858277641960777,0.07697726581891888,0.06664669028297796,0.27143439558714,0.6324131991941702,2.24399361929088,0.8899816994999168,0.11001830050008318,0.029372341609526897,0.23342059547946598,0.16575775318522964,0.026070819757029108,0.20865718663012753,0.15964439073862288,0.02248922564391178,0.02590239564942847,0.06511037513370017,0.08771097548883319,0.005063517944491229,0.05809965777355718,0.11050509756141262
2010,"Congressional District 6 (111th Congress), California",6,6,California,California6,663617,64391,37497,533100,0.49200000000000005,1293,41.8,31114.0,60775,476763,134854,103476000.0,24501050700,0.49150488911525775,0.5084951108847423,0.8211845085342901,0.023138346365448745,0.007938313816553825,0.04844963284545152,0.0036391472792288325,0.061197950022377365,0.0344521011366496,0.21206207797569984,0.7517976066015084,2.890376761715484,0.8350682873035301,0.16493171269646992,0.028023377128609573,0.17906845148626904,0.22995614577991547,0.018485893752418273,0.15985708523021955,0.26061364440895357,0.013060055749234778,0.10766844358996766,0.05101372017827493,0.08113664634427262,0.015280543478956838,0.07446583727645842,0.14108170752790067
2010,"Congressional District 7 (111th Congress), California",6,7,California,California7,667980,61315,26413,288200,0.423,1189,36.1,28334.0,45236,321394,150754,152662400.0,17099861200,0.5003697715500464,0.4996302284499536,0.5592562651576395,0.15894936974160903,0.004507619988622414,0.14617653223150393,0.005613940537141831,0.07025958861043743,0.055236683733045897,0.29472289589508666,0.6245997041990868,2.646990727604953,0.8531795122061945,0.14682048779380555,0.028659914080438487,0.2616704318198652,0.14739185986223244,0.016270691979578755,0.22963290383892854,0.17838530731319205,0.012229931322876452,0.04801335412594171,0.043635192221807347,0.08720192095385294,0.009926639386840668,0.0662624962716454,0.09831796748539658
2010,"Congressional District 8 (111th Congress), California",6,8,California,California8,667249,69926,44867,742500,0.517,1356,37.7,34263.0,38492,304982,79340,73635600.0,28576680700,0.508517809693233,0.49148219030676704,0.5185320622436302,0.06997687519951322,0.005297872308538492,0.31965877805736687,0.004541033407318707,0.04867298414834642,0.03332039463528608,0.16422504941933222,0.5481752202320409,3.6798445756468205,0.7370257430596105,0.26297425694038945,0.019202916178578514,0.13760904793805365,0.3208732068608041,0.018011069594581094,0.15288428876855756,0.3122864507363079,0.0076534960624552555,0.15296877862550307,0.0487852444581026,0.04432925486525916,0.0029840262171790125,0.08541180882162654,0.20473060581013672
2010,"Congressional District 9 (111th Congress), California",6,9,California,California9,649988,53286,31893,508500,0.507,1097,35.8,27214.0,39892,262955,126433,186802200.0,20088423300,0.49035059108783546,0.5096494089121645,0.47508877086961604,0.19877290042277704,0.004338541634614793,0.18676344794057737,0.006346271008080149,0.079392234933568,0.049297833190766596,0.21809325710628505,0.6204857444561774,2.4079210075347497,0.8540053858499035,0.14599461415009657,0.023204847843644762,0.16936752265932373,0.22522352318831682,0.018149882903981264,0.1577758799809829,0.24671602894824884,0.015484820762767242,0.13142359203027115,0.04378169600100485,0.05123290007714105,0.0014869660787989942,0.05701511125024244,0.15526035517052472
2010,"Congressional District 10 (111th Congress), California",6,10,California,California10,711957,75457,35580,426900,0.431,1311,38.9,35399.0,30099,425403,172744,94509700.0,24855482200,0.483298850913749,0.516701149086251,0.6466036572433448,0.07127818112610733,0.0043036306967976995,0.1457194746311926,0.007122621169536924,0.07226981404775851,0.05270262108526217,0.21900339486794848,0.7043716871218539,2.458611397919867,0.8396685889848648,0.1603314110151351,0.02016829944464749,0.18358723848066963,0.25552455406887087,0.013780948317456267,0.19440866732328208,0.26377596388881136,0.007829471977335162,0.10220228161847181,0.036724755833994475,0.08869966360879283,0.006206434724378291,0.09672480443186315,0.14830000304386204
2010,"Congressional District 11 (111th Congress), California",6,11,California,California11,790726,72075,32850,359400,0.451,1213,36.7,31611.0,52396,475291,210896,147809700.0,25626484400,0.48957034421531603,0.5104296557846839,0.6799890227461851,0.046109524664675244,0.008084975073540012,0.14928306391847493,0.0037598358976434314,0.05313092019232958,0.059642657507151656,0.260985474108604,0.7001543811244975,2.2773475502977,0.8567450588698206,0.14325494113017948,0.022905402311768207,0.19993007254972966,0.2129790342519636,0.017566845121115605,0.21486819218866476,0.2110468574698623,0.009802477929442706,0.09362428317386781,0.0378617441616145,0.08594616145966306,0.02256533123000329,0.07227132957541002,0.1297966154968376
2010,"Congressional District 12 (111th Congress), California",6,12,California,California12,655978,82337,40037,725900,0.43700000000000006,1498,40.3,38257.0,24566,319213,127547,70814100.0,25492418500,0.49018564646985113,0.5098143535301489,0.5266274173829001,0.017694190963721344,0.0038476900139943716,0.33053090195098006,0.007823433102939427,0.05616804222092814,0.05730832436453662,0.1921527856117126,0.5284872139929596,2.8518828502635203,0.7487127235676206,0.2512872764323793,0.020907175554687043,0.16191605683661048,0.2630782154777788,0.017857718077567322,0.16604657904909162,0.2889044581883778,0.005402409530634181,0.13166587684330833,0.03309592172385917,0.054685099260011416,0.0038246285552141126,0.08707897390075889,0.15563551621920224
2010,"Congressional District 13 (111th Congress), California",6,13,California,California13,667840,73539,30293,467000,0.413,1272,36.4,32656.0,24094,218212,156302,101367400.0,19643229300,0.4871810613320556,0.5128189386679444,0.3645364159080019,0.07407163392429324,0.0065689386679444175,0.3651937589841878,0.011650994250119789,0.11078701485385721,0.06719124341159559,0.25054953282223286,0.46876790001094115,2.6424556582563077,0.8483977925646674,0.1516022074353326,0.02066994581389975,0.24547388079057944,0.2256292237098379,0.019722462043841732,0.24606961612162817,0.24005980332287477,0.00981408342163568,0.06381331792098419,0.03911571646781984,0.05693446549096451,0.0042231420435099865,0.05242766093464462,0.15649840824997902
2010,"Congressional District 14 (111th Congress), California",6,14,California,California14,654654,94740,49460,859800,0.479,1410,38.5,41289.0,28332,391456,145177,58345000.0,31739567400,0.5024226537988006,0.4975773462011994,0.6549704118511458,0.02425250590388205,0.003045883779828734,0.21685042785960218,0.01236683805491145,0.052571281929080095,0.03594265062154971,0.2065824084172708,0.5874153814915127,2.585204793214357,0.7252383798707768,0.2747616201292232,0.014431865279322907,0.12254869881988525,0.26243046921013025,0.013528803617146838,0.12726127141468957,0.29373344396572765,0.004786205647368276,0.17920334494118753,0.039063463447004176,0.0616756539935149,0.010844431528139294,0.05769060675747391,0.21877132243309494
2010,"Congressional District 15 (111th Congress), California",6,15,California,California15,688250,85700,36665,639700,0.426,1447,36.5,36767.0,32701,286974,159132,103901900.0,24629144500,0.501333817653469,0.49866618234653104,0.4711413003995641,0.026834725753723213,0.004366146022520887,0.36903305484925536,0.0024729386124228113,0.08441845259716672,0.0417333817653469,0.2059498728659644,0.4992230318883906,2.423161131038338,0.8142368389724797,0.18576316102752027,0.015915730532466178,0.1588660313706396,0.2645941293082461,0.014418130004530808,0.15793039494243333,0.2899420310720229,0.006033643039112843,0.1204158334176309,0.05050850886680725,0.05265841738270172,0.0066220897940646685,0.05106496583087588,0.19188410422273297
2010,"Congressional District 16 (111th Congress), California",6,16,California,California16,668121,73973,29205,508900,0.444,1333,34.5,28869.0,38598,274839,159863,137654800.0,18944523200,0.5021919682213252,0.49780803177867483,0.47491098169343576,0.031916374429182735,0.009086677413223054,0.28856599328564736,0.0043959103216333565,0.14444239890678484,0.04668166395009287,0.40671076047602156,0.4351184554285668,2.3740292739736906,0.8523543580106403,0.14764564198935973,0.032011006865203466,0.19372364503798872,0.2103513368833291,0.02629040148872256,0.2040089433087499,0.22187269958986974,0.01070301609243673,0.08973221560355597,0.041335481885173185,0.05086528043546363,0.005576867604102081,0.04951873820883745,0.14968020875123922
2010,"Congressional District 17 (111th Congress), California",6,17,California,California17,664462,55026,24790,412300,0.449,1193,33.4,22456.0,81563,413667,160075,164108000.0,15199958700,0.507652807835512,0.49234719216448797,0.778486956364698,0.020706977976167183,0.01313242894251289,0.055175465263626815,0.004095042304902312,0.09350572342737433,0.034897405720718415,0.5016810592629827,,2.213752667934829,0.8986310908384506,0.10136890916154945,0.020955333841989394,0.2047178659772271,0.14550641246822923,0.01943233221565044,0.1864084003703224,0.16511965922664018,0.010821684847982082,0.05325726557245513,0.053658450247200555,0.06937555471675015,0.12217725915951497,0.042231683606920485,0.09209614985708309
2010,"Congressional District 18 (111th Congress), California",6,18,California,California18,726204,39297,16341,143800,0.45799999999999996,889,29.8,17478.0,117255,360674,212193,349284600.0,11403173300,0.5089258665609112,0.49107413343908873,0.673741813595078,0.05597187567129897,0.013423225429769045,0.0931515111456285,0.00321948102736972,0.12258814327654488,0.03790394985431091,0.5274564722860243,,2.082053777071542,0.9386393258226357,0.06136067417736435,0.03589539957134109,0.27841778934476424,0.06737025413349663,0.03717226795632005,0.26586577135948286,0.08068843599019272,0.020465257538678987,0.019853638242294865,0.07813235304147371,0.06139808289369717,0.09900390753840602,0.03201698052439398,0.0705297100971258
2010,"Congressional District 19 (111th Congress), California",6,19,California,California19,759459,51553,22840,221200,0.447,936,35.3,23275.0,104177,485943,185647,266941100.0,16926143600,0.4828081568590273,0.5171918431409728,0.7912593043205756,0.03641144551582113,0.008851037383189876,0.05342487217874829,0.0033181514736147703,0.05952131714812781,0.04721387197992255,0.3777399438284358,,2.3827628612420577,0.9077959343382586,0.09220406566174141,0.024072094088895678,0.24747648868620306,0.13463091055881646,0.021603170243653626,0.250406089378899,0.15183426845058265,0.014020992931666938,0.030741281489125936,0.06400311978351746,0.08174035416910988,0.06656374805004822,0.05856975487245212,0.08072314892129638
