year,NAME,state,congressional district,state_name,state_district,Total population,Median household income,Per capita income,Median housing value,Gini index of income inequality,Median gross rent,Median age,Median income,Income in the past 12 months below poverty level,Income in the past 12 months at or above poverty level:,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Aggregate income deficit in the past 12 months,Aggregate household income in the past 12 months (in 2016 inflation-adjusted dollars),Male PCT,Female PCT,White alone PCT,Black or African American alone PCT,American Indian & Alaska Native alone PCT,Asian alone PCT,Native Hawaiian & Other Pacific Islander alone PCT,Some other race alone PCT, Two or more races PCT,Hispanic or Latino (any race) PCT,Speak only English PCT,Total not enrolled in school PCT,Total enrolled in public school PCT,Total enrolled in private school PCT,"Males 12th grade, no diploma PCT",Males Highschool diploma PCT,Males Bachelor's degree PCT,"Females 12th grade, no diploma PCT",Females Highschool diploma PCT,Females Bachelor's degree PCT,Males unemployed PCT,"$200,000 or more PCT","Less than $10,000 PCT",Veteran PCT,"Agriculture, forestry, fishing and hunting, and mining PCT","Finance and insurance, and real estate and rental and leasing PCT","Professional, scientific, and management, and administrative and waste management services PCT"
2010,"Congressional District 1 (111th Congress), Alabama",1,1,Alabama,Alabama1,689835,41172,21773,136000,0.478,709,38.4,21250.0,62151,393944,156796,252961400.0,14275574200,0.49016069059992606,0.5098393094000739,0.6737393724586314,0.28217762218501524,0.011596976088484928,0.014229489660571006,7.682996658621265e-05,0.006597229772336863,0.011582479868374322,0.028113969282509584,,2.7661753570960927,0.8401507517662664,0.15984924823373356,0.022878157626511665,0.34634491244501986,0.14618513723221582,0.01829921076873283,0.3121364017361428,0.1498004099687129,0.013386997161306894,0.035159298151740126,0.07884645397186364,0.12096375054644756,0.015354533440402156,0.05732023060607916,0.10648066459490894
2010,"Congressional District 2 (111th Congress), Alabama",1,2,Alabama,Alabama2,666779,40567,21076,111200,0.449,659,37.7,21548.0,50371,371220,150164,225112400.0,13534983400,0.4793717258641919,0.5206282741358081,0.6473899147993563,0.30930188263277636,0.004068814404772796,0.00880951559662197,0.0002684547653720348,0.008755524694089046,0.021405893107011468,0.027875802927206764,,2.7653896077199125,0.8393936368281638,0.1606063631718362,0.017205605541995832,0.33489310283406265,0.1286232145694025,0.017169612749414722,0.3234906247986426,0.11548787559870272,0.009887664752688215,0.018974941881386622,0.0678231366344325,0.12667489843065402,0.028516847970283896,0.048125939683381976,0.07254267268064031
2010,"Congressional District 3 (111th Congress), Alabama",1,3,Alabama,Alabama3,690081,35452,19469,110100,0.474,640,36.7,18407.0,78638,355558,148662,260723900.0,13009682200,0.48336064896729514,0.5166393510327049,0.6455474067536999,0.3204609313979084,0.0017200879317065677,0.01227681967769001,0.00017679084049553604,0.010314731169239554,0.009503232229260044,0.03046888698573066,,2.4171163670377336,0.8562397853772857,0.14376021462271424,0.017925224303291368,0.3410123991527642,0.11640924343749257,0.014174374785885577,0.3067317574511819,0.12085474477560809,0.015691602016401386,0.01856806986117331,0.10286609941782356,0.1090644701397761,0.016321755738029655,0.058667872640222454,0.06775752456485908
2010,"Congressional District 4 (111th Congress), Alabama",1,4,Alabama,Alabama4,659152,36715,19196,93400,0.45399999999999996,573,40.2,19149.0,107332,486962,144131,223849600.0,12193339000,0.49431997475544337,0.5056800252445567,0.9114893074738452,0.05191063669684686,0.006602422506493191,0.003618285312037284,3.337621671480933e-05,0.010801757409520111,0.015544214384542563,0.0629687841347671,,3.262466010943637,0.9128671657323173,0.0871328342676827,0.020820903870534715,0.34977906629875455,0.07880434782608696,0.014354046422877085,0.3392325312544319,0.07789863636558983,0.01227602382855576,0.013027771311312865,0.10089840752524076,0.10528570887647548,0.03148309138472409,0.03969227471388932,0.06154505722213621
2010,"Congressional District 5 (111th Congress), Alabama",1,5,Alabama,Alabama5,719906,45856,25059,135600,0.47,628,38.3,23489.0,68567,472777,160521,192498600.0,17552576600,0.4901612154920226,0.5098387845079775,0.7671195961694999,0.17631051831766925,0.012397451889552246,0.014692195925579172,0.00031948615513692063,0.0093137159573611,0.0198470355852014,0.046253260842387754,,2.6032150395641187,0.8624821935470455,0.13751780645295458,0.019062149194474663,0.2774413897425006,0.16950922984236236,0.022706801231419615,0.2711164844491239,0.16286285044016446,0.010655864267613693,0.031862332904562994,0.0770468480834875,0.11923745272411326,0.012882926798386943,0.04649248865226227,0.13302967188103393
2010,"Congressional District 6 (111th Congress), Alabama",1,6,Alabama,Alabama6,747579,55559,28854,175300,0.455,834,37.8,28291.0,57601,554707,169701,151134600.0,20964804700,0.48454410838185663,0.5154558916181433,0.8293999697690813,0.11945359620856123,0.0021857221778567885,0.017088494995177766,0.0,0.02028548153439302,0.011586735314929927,0.044325750188274414,,2.8086095028419615,0.8070271071266022,0.19297289287339775,0.013544140090571498,0.259788001147738,0.21990410565843152,0.01573610420376072,0.2669101428587699,0.21059804788786934,0.007320017199191155,0.04231419964511204,0.055663764288367105,0.09934107101046928,0.012726182375938462,0.09053061318633161,0.10438122037573087
2010,"Congressional District 7 (111th Congress), Alabama",1,7,Alabama,Alabama7,611966,31047,17113,93900,0.47200000000000003,667,34.7,16835.0,26390,173418,131997,282372700.0,9714027400,0.4738547566368066,0.5261452433631933,0.34193893124781444,0.6381057117552282,0.001563812368661004,0.0047224845824768045,0.0,0.00849066778219705,0.005178392263622489,0.025895229473532844,,2.4998002730595186,0.887532865515206,0.11246713448479392,0.03205117212285425,0.36349241735690724,0.10412772452111879,0.01829020969126428,0.31751766292813144,0.11435389999339704,0.018451689369303543,0.014480217084760223,0.08272209121825787,0.09100004266393617,0.021717870886622553,0.05135662606737197,0.07821396971351885
2010,"Congressional District (at Large) (111th Congress), Alaska",2,0,Alaska,Alaska0,713985,64576,30598,241400,0.42200000000000004,981,33.8,28202.0,32157,439491,179352,98396500.0,20697356400,0.5216300062326239,0.47836999376737604,0.6743082837874745,0.034609970797705836,0.146416241237561,0.05478826585992703,0.010697703733271707,0.009098230354979446,0.07008130422908045,0.05701100163168694,,2.524499283767641,0.8701887026627295,0.12981129733727045,0.013190246900932281,0.2824975241607759,0.16646603831574633,0.010984083249735337,0.2213274283099028,0.2050223518697443,0.00838669886851616,0.0567530197490282,0.034254258954892904,0.14070459700574847,0.051880017649689206,0.038429533023575366,0.07324028748856176
2010,"Congressional District 1 (111th Congress), Arizona",4,1,Arizona,Arizona1,781608,40854,18429,152500,0.434,757,38.1,19297.0,82337,436580,174730,279826100.0,13641934000,0.5145546104952866,0.4854453895047134,0.7037875763809992,0.017996233406004033,0.19244173549912488,0.008962293118801241,0.002206988669512083,0.05240606544457068,0.022199107480987912,0.1983116856531663,,2.8198786818729564,0.9223991091812298,0.07760089081877024,0.01822177315563615,0.29764918764622944,0.11980729408781642,0.02252417432618799,0.2605486157059382,0.11855185223567676,0.017436709757895335,0.013836359349210093,0.08272577222353218,0.1255834814250656,0.04027343503692411,0.04275482461508789,0.08025756007818788
2010,"Congressional District 2 (111th Congress), Arizona",4,2,Arizona,Arizona2,984825,47963,22763,157500,0.402,952,39.1,26093.0,101539,736237,233838,212526100.0,21797800900,0.48952453481583025,0.5104754651841698,0.8603894092859138,0.03233670956768969,0.02547457670144442,0.022157236057167518,0.00015028050668900567,0.03345264387073846,0.02603914401035717,0.2227461731779758,,2.791277271083611,0.894961629635582,0.10503837036441802,0.01973688343835797,0.27848387562904836,0.15124804453128435,0.01606494475226317,0.2819129329335721,0.12986628509399517,0.008633162535272064,0.015837124728008644,0.05062767236263485,0.14483963983569545,0.00992667940310838,0.08275416946352042,0.0872463468787112
