Total population,Male,Female,White alone,Black or African American alone,American Indian & Alaska Native alone,Asian alone,Native Hawaiian & Other Pacific Islander alone,Some other race alone, Two or more races,Hispanic or Latino (any race),Median household income,Per capita income,Median housing value,Gini index of income inequality,Median gross rent,Median age,Median income,Income in the past 12 months below poverty level,Income in the past 12 months at or above poverty level:,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Total enrolled in school,Total not enrolled in school,Total enrolled in public school,Total enrolled in private school,Males for population,"Males 12th grade, no diploma",Males Highschool diploma,Males Bachelor's degree,Females for population,"Females 12th grade, no diploma",Females Highschool diploma,Females Bachelor's degree,Total pop over 5,Speak only English,Males for population poverty,Males unemployed,Aggregate income deficit in the past 12 months,Aggregate household income in the past 12 months (in 2016 inflation-adjusted dollars),Household population,"$200,000 or more","Less than $10,000",Population for veterans,Veteran,Population for employment,"Agriculture, forestry, fishing and hunting, and mining","Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services",NAME,state,congressional district,year
692491,347715,344776,568455,38206,4096,8819,327,50744,21844,236289,41039,20495,90600,0.462,703,33.2,20469,96105,443817,161994,207491,454135,182627,24864,209315,3719,58651,30316,214950,3082,61064,31320,,,496785,4372,195649300,13663875800,209876,4928,16924,513935,45271,305937,22228,16110,23111,"Congressional District 19 (111th Congress), Texas",48,19,2010
712239,351652,360587,530806,53384,4792,13118,895,92262,16982,505489,38859,17335,94800,0.428,730,31.5,20680,110021,407858,183227,208065,471598,187046,21019,208825,4779,55437,23087,226538,3587,63952,25735,,,518667,7178,258465500,11706098300,183111,2444,18957,509121,56330,301208,1026,26592,31912,"Congressional District 20 (111th Congress), Texas",48,20,2010
869422,428993,440429,708503,58793,6315,31278,852,42508,21173,240818,58329,32752,186800,0.481,892,37.3,29976,72290,616076,192564,246118,593336,205653,40465,276328,2177,51215,68235,291661,2249,59293,70497,,,659569,3936,148778900,27898082300,282716,21031,15238,655015,93321,411793,5520,36686,50528,"Congressional District 21 (111th Congress), Texas",48,21,2010
924709,452586,472123,593550,139791,3597,121183,89,45404,21095,252350,67196,29266,161200,0.427,940,34.8,31587,55413,531758,254606,276964,605260,243199,33765,279286,4008,63177,58446,303333,5317,69640,64135,854460,580533,681702,2813,170057100,26483836600,208621,14003,7686,659228,54820,444379,11032,25649,52261,"Congressional District 22 (111th Congress), Texas",48,22,2010
845902,415563,430339,699567,24393,7567,16033,700,81334,16308,569824,47330,21329,113800,0.471,760,33.0,21898,146417,542384,239402,260926,546265,233059,27867,242680,3749,58479,37059,265947,4423,68911,40290,,,605621,4509,328903600,17460807600,226827,8316,20433,592179,61379,352484,11549,25592,33521,"Congressional District 23 (111th Congress), Texas",48,23,2010
796543,383970,412573,527630,106945,6140,78072,945,55299,21512,218296,57031,30110,167800,0.454,893,34.2,31559,52454,471684,215921,227973,533782,197622,30351,240219,4688,47193,61010,268506,3203,52425,62544,736520,497837,591273,3742,167337100,23623800800,206379,12936,6908,573564,42063,403120,2574,43285,51555,"Congressional District 24 (111th Congress), Texas",48,24,2010
816087,405318,410769,607917,63444,3983,14730,268,104487,21258,322295,47216,24165,168500,0.461,877,32.4,24667,89433,504020,192234,238408,545785,213371,25037,251653,3524,58481,53540,259798,2894,60930,61170,,,615371,6482,253622600,19217778800,238998,9822,17908,612926,48872,393131,6902,20754,49116,"Congressional District 25 (111th Congress), Texas",48,25,2010
904158,445129,459029,673556,117720,2624,39362,519,42166,28211,183355,61158,27515,159100,0.439,816,33.9,29046,60202,602830,246350,282743,581917,251353,31390,270995,3956,56478,63202,289407,3111,65017,66687,,,660785,5826,161707600,24435471200,238844,12942,8964,647963,58520,437191,6680,39078,51276,"Congressional District 26 (111th Congress), Texas",48,26,2010
743452,363100,380352,671156,16744,1215,8810,375,32145,13007,546282,36960,17789,92000,0.481,726,32.1,18428,186503,473888,211719,225229,483365,210838,14391,210288,3986,52430,23653,231234,3938,55159,27360,,,535516,6764,405168000,12742150000,213681,4705,22076,518347,46875,292147,10342,11806,24111,"Congressional District 27 (111th Congress), Texas",48,27,2010
873678,431343,442335,779078,10978,2710,7434,199,61496,11783,696222,39839,15987,96600,0.463,670,30.1,17586,212601,559264,276570,280844,549235,264603,16241,235300,5804,63960,26534,263027,4904,62784,34164,,,605554,5619,464705200,13564159500,222044,5146,22191,581180,37867,341809,12406,14540,26537,"Congressional District 28 (111th Congress), Texas",48,28,2010
683511,348638,334873,472428,63837,6698,9530,89,124607,6322,525329,36154,14054,87600,0.431,735,28.7,19140,130675,338913,207820,202229,440459,191543,10686,192189,5596,55249,9444,186322,4928,52773,10006,,,486108,7284,340342800,8988914400,131514,1730,11483,463169,18171,265944,4785,9182,24444,"Congressional District 29 (111th Congress), Texas",48,29,2010
695724,348402,347322,285363,283679,2732,10196,214,96851,16689,270915,37668,19436,97300,0.470,808,32.0,21479,54221,221203,175390,176565,485599,156454,20111,212635,4573,62165,25685,219197,4234,57200,27484,,,510918,8042,353538900,12910919100,103453,4153,7090,508113,28653,297052,2017,25921,35742,"Congressional District 30 (111th Congress), Texas",48,30,2010
693136,336325,356811,470105,192099,7366,9751,44,3057,10714,20334,41450,22137,130600,0.4665,755,38.7,22195,60860,402562,156168,171081,496925,140354,30727,220722,4402,79398,31251,243831,3909,75470,35967,,,530936,4993,286798000,14963002900,190698,4798,14900,527046,60852,279664,4740,13557,25772,"Congressional District 1 (113th Congress), Alabama",01,01,2012
683565,331111,352454,451176,204416,2318,8922,130,6155,10448,23450,40833,21883,111100,0.4616,702,37.8,21499,58934,382226,151422,171288,485264,142783,28505,214490,4389,72001,30204,242766,4558,79410,34002,,,516339,4487,248090300,14361647100,180161,3574,12408,515021,64905,279997,5764,13440,21010,"Congressional District 2 (113th Congress), Alabama",01,02,2012
696249,340523,355726,489433,180938,2201,8735,310,6468,8164,18461,40292,21469,116600,0.4695,671,37.3,20905,76376,400958,147878,187967,482833,164666,23301,216502,4176,70301,27509,238281,5080,76706,28330,,,533951,6652,266682100,14556487700,193721,4696,16343,534389,58506,286247,3050,16385,21884,"Congressional District 3 (113th Congress), Alabama",01,03,2012
680966,331717,349249,598955,49544,4016,4515,72,8428,15436,33713,37187,20293,97900,0.4572,564,40.6,20189,102439,489856,150310,154646,502192,141523,13123,218484,5192,78418,20207,242498,3447,80720,23949,,,533025,6732,229648000,13187987300,231930,3939,21481,522013,50355,267462,7762,11391,15655,"Congressional District 4 (113th Congress), Alabama",01,04,2012
696690,341689,355001,536553,120106,5495,9830,253,7262,17191,34179,50230,26594,146800,0.4573,642,38.9,25089,60385,468899,152320,178049,495077,151544,26505,226521,3907,63303,45552,244387,3828,66518,45407,,,540971,4258,165770400,17785895600,212613,7772,13084,535087,61123,310658,3868,12998,44007,"Congressional District 5 (113th Congress), Alabama",01,05,2012
688675,334894,353781,553061,97358,1660,12558,128,15736,8174,34401,55656,29524,165700,0.4592,852,38.6,29386,49932,497232,158193,173375,490278,144351,29024,224989,3929,53782,47456,244721,3251,61385,49593,,,533588,2930,126992300,19745855900,215884,10635,9513,523876,48716,320112,3191,29004,33859,"Congressional District 6 (113th Congress), Alabama",01,06,2012
682742,320032,362710,234088,431703,1080,4368,421,5362,5720,20903,31080,17700,94000,0.4951,657,35.5,16806,37805,181830,143167,184233,472502,164521,19712,192636,3354,70229,22106,238818,4716,75902,30504,,,521621,8644,378369600,11260719200,90601,2335,9730,526383,40489,257488,5894,13561,19868,"Congressional District 7 (113th Congress), Alabama",01,07,2012
731449,381094,350355,486551,26207,102582,42790,8231,6796,58292,43686,67712,31890,245100,0.4232,1120,33.8,29932,31440,445460,177876,195535,503205,170045,25490,239275,2615,75178,36113,225319,2324,55099,43446,,,539888,4364,111200600,21324493900,188219,13365,5705,528429,71831,351496,19273,14746,28546,"Congressional District (at Large) (113th Congress), Alaska",02,00,2012
722706,366677,356029,466617,18034,175176,11950,832,29405,20692,154214,45925,21169,139100,0.4507,837,36.3,22805,67825,382511,168319,193786,501009,176135,17651,230968,5442,65072,32124,229311,4127,56637,34374,,,538272,8602,268811200,14417050700,175517,6044,11043,541011,55571,273975,14544,10990,21622,"Congressional District 1 (113th Congress), Arizona",04,01,2012
727099,362079,365020,587594,35582,8618,18243,1004,46863,29195,190816,46139,26622,163500,0.4666,777,40.6,24279,84385,487340,143940,182331,520383,161001,21330,246368,4332,48895,44890,260363,3858,54830,48840,687694,538331,564355,5991,187181300,18775467600,256255,7874,21065,564088,83262,303961,4717,18577,38147,"Congressional District 2 (113th Congress), Arizona",04,02,2012
719765,355085,364680,524877,34677,27205,13251,1805,98648,19302,457916,40145,16874,104500,0.4458,838,30.1,20625,117393,388238,198956,216727,465596,203482,13245,199338,6179,55881,22104,212463,5110,55721,21096,,,505418,7886,343709000,11653640800,168785,2820,16682,505951,41333,284467,8872,15002,28556,"Congressional District 3 (113th Congress), Arizona",04,03,2012
720881,364996,355885,630472,12306,12183,8660,1322,36121,19817,126386,42693,22016,128900,0.4255,879,45.7,21930,95971,515520,143119,152874,546497,138529,14345,259751,5198,75983,30535,259052,6095,77487,31685,,,556829,7672,209157900,15472996900,261233,3573,20555,566395,90195,244455,6346,12965,19839,"Congressional District 4 (113th Congress), Arizona",04,04,2012
737326,359155,378171,635666,19999,5192,28287,1959,25586,20637,132596,63236,29394,176700,0.4247,1096,37.8,31081,54997,576996,187732,206820,501654,178782,28038,233960,3071,51203,53183,252199,3174,63165,53299,,,559655,3116,127305300,20998255400,233767,11829,9312,541343,62494,333837,1989,29698,39263,"Congressional District 5 (113th Congress), Arizona",04,05,2012
722561,357809,364752,621351,20348,12521,32463,952,18973,15953,104007,60441,36704,239400,0.4926,985,40.8,32128,73128,544619,143985,176411,522252,151837,24574,248768,3993,42717,65419,259613,3663,53202,64037,683277,555381,588906,5092,163449000,25758880300,265299,19066,14299,572066,52813,359682,1048,49024,56032,"Congressional District 6 (113th Congress), Arizona",04,06,2012
735599,371185,364414,506305,71618,21698,16870,1848,100714,16546,468993,32259,14419,83000,0.4733,771,29.0,19870,184542,315528,215386,213067,483838,198614,14453,205968,7589,56751,19342,210342,5866,54963,19272,,,521357,11109,538418700,9816829500,155921,1744,19657,504057,24969,279596,2155,18106,38912,"Congressional District 7 (113th Congress), Arizona",04,07,2012
730846,354877,375969,624989,35983,4912,25345,1094,20052,18471,139701,55670,26795,159400,0.4022,1097,40.5,30061,54724,560516,174501,194067,514091,171074,22993,230770,2436,54989,42159,265988,3653,72785,47419,,,560302,2378,128413000,18961965000,241572,6033,10431,547488,70472,301794,1686,32236,34558,"Congressional District 8 (113th Congress), Arizona",04,08,2012
736472,368824,367648,566328,37796,22378,35321,1221,44540,28888,201475,48737,27364,169800,0.4663,876,32.7,26973,93342,462639,155703,216998,491032,182421,34577,236157,5180,47786,52828,239085,4136,50103,53152,686077,504996,577792,7968,226805100,19254444400,237795,8734,16464,572732,45183,375885,1080,36725,51830,"Congressional District 9 (113th Congress), Arizona",04,09,2012
729169,362420,366749,573558,131412,2570,2832,104,6252,12441,21347,36130,19275,87500,0.4572,597,39.4,19842,101282,454541,161730,180314,520486,165701,14613,239056,4702,98744,20928,253171,3601,92927,28729,,,547026,7419,268882400,13609233400,227367,3795,19997,554579,57648,286466,15008,10794,14807,"Congressional District 1 (113th Congress), Arkansas",05,01,2012
747332,363229,384103,552404,166322,2532,11743,46,3178,11107,37603,45866,24760,131400,0.4583,704,36.4,24849,67103,473749,166742,192588,525985,159702,32886,231989,3010,80706,42968,259738,3661,76504,48065,,,573657,4269,187152600,17715212800,220198,6725,12867,567165,60115,337880,5412,22561,27049,"Congressional District 2 (113th Congress), Arkansas",05,02,2012
754704,371789,382915,646773,21077,8053,20236,5071,31375,22119,99692,42102,22551,126100,0.4671,657,35.0,22754,110186,522389,181774,206500,517959,185425,21075,233658,4703,72863,35980,249696,3079,83281,38961,,,564305,5556,249560700,16697103100,254013,7623,22534,561455,54514,337142,7336,15917,25819,"Congressional District 3 (113th Congress), Arkansas",05,03,2012
717926,351827,366099,535216,143371,4330,4637,0,18060,12312,39223,35767,19850,87000,0.4576,594,40.5,19677,92692,428288,155828,172955,519911,161422,11533,230201,3918,91040,23722,251873,3929,89884,29788,,,550029,5601,278017800,13879247300,216167,3773,17199,549269,59403,290737,12633,11266,14548,"Congressional District 4 (113th Congress), Arkansas",05,04,2012
711354,359727,351627,620859,10214,14720,18408,797,14437,31919,91706,45198,23917,217000,0.4421,902,42.3,21675,107051,501848,137164,178616,509678,156311,22305,241935,6307,59175,34004,246778,5956,61396,38584,,,563905,9187,184256100,16333182100,248487,5529,14945,562592,64292,273553,12405,13709,25599,"Congressional District 1 (113th Congress), California",06,01,2012
704148,348594,355554,566582,12669,14906,29252,1058,49501,30180,117689,59954,37364,444400,0.5179,1205,43.0,28228,67794,489066,141037,171926,511954,145965,25961,244813,4395,50115,53405,256183,3493,46460,61323,668246,535104,559360,4668,132162100,25576046800,242893,22509,14036,557424,48550,323806,9948,21214,45378,"Congressional District 2 (113th Congress), California",06,02,2012
712075,357491,354584,468948,36044,7021,82085,4229,69777,43971,202322,53106,25049,214800,0.4594,1061,34.6,24563,67962,390512,164340,216440,468324,193444,22996,220684,6458,54913,30073,225299,4861,50013,36869,664631,456710,530987,7755,175711800,17125161000,176414,8065,10355,527326,51505,292518,14439,14929,24703,"Congressional District 3 (113th Congress), California",06,03,2012
704230,354417,349813,600122,8207,9340,34274,244,24091,27952,86687,62035,31421,298700,0.4451,1141,43.7,28721,60874,532562,144763,172338,512023,151452,20886,246646,4628,54127,50052,253563,3400,55519,52734,,,561522,6766,121522100,21504401700,236719,13884,9505,552643,63494,295862,2997,22001,34583,"Congressional District 4 (113th Congress), California",06,04,2012
715809,349324,366485,488255,45800,6450,72885,3140,64597,34682,196654,60693,29818,327400,0.4490,1226,39.7,27772,52037,428934,147447,179340,512143,155068,24272,235583,6173,52991,41855,255279,4481,50333,54782,674475,454739,569180,6933,134232000,20509871200,192506,12091,9132,561051,45522,333489,13084,21234,37256,"Congressional District 5 (113th Congress), California",06,05,2012
714536,347996,366540,382125,94114,5932,110786,9191,65771,46617,194241,45274,23401,187500,0.4694,942,33.4,23277,76223,301759,165963,203897,478124,179185,24712,219089,5241,51463,36543,239142,4769,53489,40441,660924,422009,553135,11984,285398400,16075166000,156052,5586,10460,541025,40980,304035,2614,18514,34814,"Congressional District 6 (113th Congress), California",06,06,2012
719962,355487,364475,465443,52755,6190,108252,5864,34844,46614,116920,61377,28434,233700,0.4399,1045,36.9,29336,58384,401860,174271,209503,484763,181549,27954,230326,5732,50365,47136,247067,3845,51859,53244,674259,486372,551415,9900,215423000,19887196100,183914,9964,7951,537680,51146,309119,2959,27482,35677,"Congressional District 7 (113th Congress), California",06,07,2012
708578,353674,354904,510793,72530,12058,18298,4506,66824,23569,252943,42250,18536,142100,0.4403,959,33.6,21509,101347,398275,183951,201487,474288,184134,17353,212401,8745,66866,17555,217750,7043,61536,20971,,,512768,9807,336460200,12421530200,173110,3024,12739,498337,54801,234841,3020,11669,18351,"Congressional District 8 (113th Congress), California",06,08,2012
724666,357768,366898,404615,61538,7287,102194,4466,86735,57831,279209,52556,22511,206700,0.4517,992,33.5,23738,55537,342508,196902,220886,474825,191158,29728,210491,8509,53878,28827,230891,7257,54567,34223,673698,410545,533650,7849,243537300,15670782900,139270,6095,7219,516602,32972,280090,13515,15525,28482,"Congressional District 9 (113th Congress), California",06,09,2012
713348,353434,359914,526630,22855,4087,44696,4218,74268,36594,294221,49879,21959,174500,0.4443,1014,34.0,22605,84491,436010,186189,197867,485534,178147,19720,216530,6790,65903,22414,227480,5342,62630,28438,,,531630,7383,223667700,15146253100,176490,5077,9401,515517,34619,284671,13369,12515,29136,"Congressional District 10 (113th Congress), California",06,10,2012
726253,355233,371020,469187,68058,3229,93495,4452,51827,36005,185213,70298,38024,432300,0.4860,1256,39.0,32522,50503,414291,161444,188068,511816,152283,35785,236818,4557,39800,58800,257318,4905,46898,65825,679213,444949,569471,3539,164171900,26876162600,180912,24515,6265,556601,39324,331268,3290,35281,54730,"Congressional District 11 (113th Congress), California",06,11,2012
717042,366611,350431,371702,41938,2551,224442,2940,39844,33625,104832,72303,49217,744700,0.5256,1493,38.3,37049,39933,325986,86987,144864,553264,95040,49824,292037,5671,35796,100940,276628,6091,34610,91288,685525,393069,625690,5703,94005500,33677180300,184546,33545,9080,625159,26205,404112,599,37970,91874,"Congressional District 12 (113th Congress), California",06,12,2012
719569,352276,367293,331694,129044,5418,146108,5130,57206,44969,158791,56285,35128,469600,0.5157,1164,36.6,30779,40480,282077,136114,200086,494503,164337,35749,235683,5162,40368,59729,258044,4981,38040,65330,676539,415189,573566,7385,193518100,23854268900,140795,16563,6628,574538,29265,349708,1429,19601,58190,"Congressional District 13 (113th Congress), California",06,13,2012
725771,357798,367973,361692,23594,2375,233441,9457,64795,30417,179512,77880,38789,664700,0.4658,1598,39.8,33962,30573,327073,144127,185371,514560,147040,38331,248432,7694,46934,62100,265303,5499,45039,72442,681538,325889,585462,5483,92858000,26890717800,142892,21732,3603,575721,29964,369612,1054,26192,59671,"Congressional District 14 (113th Congress), California",06,14,2012
732515,358178,374337,365847,50619,4042,209135,8455,48939,45478,168205,88797,37003,483000,0.4294,1417,37.5,38113,30500,330387,171943,196848,506119,168410,28438,238030,5184,45075,64117,256124,4948,51693,67009,684054,380988,567002,3007,114964800,26012036900,135773,16805,4087,553724,31425,351155,1152,24290,58578,"Congressional District 15 (113th Congress), California",06,15,2012
716746,355360,361386,385426,45580,9782,69614,2063,175668,28613,423925,35828,15035,131500,0.4662,817,29.4,17615,104774,273471,210172,223700,453802,213462,10238,197920,7531,53930,14130,210838,6896,50426,18914,,,502437,11075,453397600,10020315600,119497,2201,12194,493317,26570,248703,37948,8782,17525,"Congressional District 16 (113th Congress), California",06,16,2012
719276,362594,356682,242214,21374,3949,369571,2033,49324,30811,123492,100652,39863,603500,0.4089,1676,36.4,41791,22095,216732,166915,186982,500282,150927,36055,248394,5763,36095,66333,247455,6451,37679,72168,667299,260749,557807,3842,108612800,27844258700,95812,11329,2979,547957,21667,348012,481,16342,76528,"Congressional District 17 (113th Congress), California",06,17,2012
736397,367424,368973,502414,13795,3142,147205,2877,33322,33642,129083,100917,55377,862600,0.5011,1573,39.4,46091,36659,457711,162880,200577,511093,148237,52340,248371,3131,28006,71343,262675,3492,32904,79135,693497,448037,575066,2626,79003000,39768832900,200245,43640,6125,568172,34260,367389,1679,20109,73124,"Congressional District 18 (113th Congress), California",06,18,2012
712983,356124,356859,358326,21023,4407,189742,3981,101130,34374,290657,75857,30995,479800,0.4561,1422,35.1,29265,48301,305923,165026,204416,481398,173527,30889,232022,7504,41893,48743,234296,8235,43357,47854,664310,296496,553231,5758,162255600,21243603800,121078,14044,5512,540298,23397,337535,2058,16342,49144,"Congressional District 19 (113th Congress), California",06,19,2012
721890,367806,354084,555539,15330,4408,39362,2488,76465,28298,373054,60563,25691,376800,0.4495,1287,33.5,23570,88465,446589,172853,213080,478195,196612,16468,225878,5333,46590,35462,223156,3900,37129,42142,,,531558,5451,150997900,17653805100,177601,11937,7997,534943,31330,321933,47313,13340,31837,"Congressional District 20 (113th Congress), California",06,20,2012
712866,379634,333232,471144,31234,8360,22571,925,155550,23082,517953,36249,13604,125400,0.4481,754,28.5,16279,136556,311632,216738,221618,455375,205991,15627,215857,8762,55242,10478,184129,5022,43379,12182,,,463489,10277,417717800,8947659400,122195,2138,7842,482329,22967,242296,70788,5811,13083,"Congressional District 21 (113th Congress), California",06,21,2012
717545,355162,362383,517179,22320,7462,52176,587,86670,31151,323418,50070,22544,185600,0.4652,933,31.4,22600,112330,399078,200039,223693,460640,202620,21073,207368,5556,48919,30614,220611,3885,50742,37478,660093,411050,523697,9575,317636800,15712560600,176802,6118,10772,505977,35554,294121,25651,15785,24655,"Congressional District 22 (113th Congress), California",06,22,2012
713959,362699,351260,533668,40268,8508,37784,1505,66577,25649,265902,52599,23366,167200,0.4529,922,33.6,23652,93890,425924,183519,202839,477758,180182,22657,222364,6792,58752,26756,219440,6238,51913,27446,,,521872,5652,249794500,16106399600,185467,5873,10734,517837,49023,280500,28151,12865,24822,"Congressional District 23 (113th Congress), California",06,23,2012
716974,360527,356447,559594,14570,7138,33597,1131,73400,27544,251506,61011,28960,411900,0.4588,1253,35.6,25434,76084,462602,141667,214088,477829,194401,19687,226037,3878,43882,42169,229014,4827,45022,45557,,,546614,5840,134312100,20105930800,210006,11724,12621,561984,47693,325383,20244,16842,37110,"Congressional District 24 (113th Congress), California",06,24,2012
717685,361798,355887,464699,48819,2298,58961,1445,104108,37355,272225,70149,28257,319700,0.4472,1321,34.7,30396,63414,396952,193785,221556,464449,191289,30267,216965,6521,45468,41463,224002,5023,49062,42235,664222,452526,529932,5156,252240800,19568201100,156035,12542,6931,514844,34361,307714,2195,26771,32723,"Congressional District 25 (113th Congress), California",06,25,2012
711999,353558,358441,554789,15038,3848,46837,1307,60523,29657,316323,70218,30499,419400,0.4484,1421,36.3,26851,60080,487926,168164,199921,486218,170243,29678,223922,5945,39875,45694,235886,4974,41837,45975,,,544077,2993,136932700,20921921700,183969,15402,5720,531074,39652,329318,17786,20908,39107,"Congressional District 26 (113th Congress), California",06,26,2012
710190,344955,365235,316863,32054,2019,261795,1862,69369,26228,190942,66197,32770,542800,0.4796,1251,41.1,29020,32318,278816,131056,184333,507334,142588,41745,239389,6265,45270,58989,266504,6303,48687,67284,677326,300622,582708,4750,119580100,22174487200,120653,14562,6436,574220,22574,341522,946,23283,42557,"Congressional District 27 (113th Congress), California",06,27,2012
727828,367886,359942,495526,21127,2387,90685,288,91076,26739,204387,52204,33770,596700,0.5149,1213,38.4,26606,69065,423466,125997,166090,540049,125376,40714,268284,6198,45936,73342,265505,4882,44238,76557,689395,294293,609411,9981,151488400,23544927500,211936,17451,14232,598206,21779,366321,728,26357,52784,"Congressional District 28 (113th Congress), California",06,28,2012
722810,361938,360872,449952,30912,4359,62329,1047,153701,20510,489575,45009,17538,313300,0.4363,1120,32.6,20664,102051,342149,180227,213020,479713,190670,22350,223013,9633,54674,35677,230275,7405,56789,34238,669447,163923,550358,6800,278077400,11669593100,128403,2560,9220,531889,17294,321668,2263,17252,40053,"Congressional District 29 (113th Congress), California",06,29,2012
729053,356411,372642,491626,34092,2270,88487,987,72808,38783,207393,66074,34399,471700,0.4715,1351,39.0,31104,56134,430474,155197,187949,513342,144719,43230,243943,5218,45459,69085,263671,3736,48023,75413,683172,357970,580117,6438,140145400,24138100900,196788,20721,10897,569049,28724,358250,1645,34171,56068,"Congressional District 30 (113th Congress), California",06,30,2012
724413,357796,366617,437402,71489,6011,59515,1572,109755,38669,377638,52324,21075,229600,0.4482,1089,31.5,23062,78920,350075,199155,233521,456842,202164,31357,207572,6649,49476,30210,225652,6879,49638,31316,,,529431,6099,270355500,14389286300,133013,5671,7727,517317,30938,291433,1392,14183,25536,"Congressional District 31 (113th Congress), California",06,31,2012
718635,352544,366091,369434,20268,4197,113160,1309,186299,23968,447892,56986,20692,344200,0.4194,1221,34.4,21900,56847,306122,168139,211083,479370,183495,27588,220270,9300,60950,28312,238228,7093,60985,33086,,,555566,6889,168363800,13811198300,106789,4211,5004,539876,22660,311653,2171,16056,31215,"Congressional District 32 (113th Congress), California",06,32,2012
701029,339183,361846,535436,19900,1667,90806,1115,15938,36167,82228,92111,59455,911000,0.5230,1729,41.4,46847,42681,484569,125503,188152,494948,131732,56420,240847,2501,25239,85087,259149,2601,27410,93230,668961,472851,569996,2979,70724100,40762919500,236814,51053,12159,571927,30141,352705,447,33781,62023,"Congressional District 33 (113th Congress), California",06,33,2012
708100,363463,344637,240547,29467,3036,136350,973,281523,16204,465482,32714,17550,370300,0.4863,961,34.0,17107,60063,173165,147389,183325,499247,160558,22767,242357,9337,51463,38787,230659,7907,47013,36958,,,557466,10356,329532800,11512300200,84335,2624,7286,552827,11891,317753,1186,14254,33249,"Congressional District 34 (113th Congress), California",06,34,2012
718067,357268,360799,410225,48727,7568,45134,1555,181012,23846,501295,52004,17252,230200,0.4008,1116,30.6,21157,70882,329657,192773,224274,463939,201589,22685,209390,10422,56888,21633,216956,7948,56183,24747,,,526605,5268,218355300,11483889300,105918,2030,5471,514103,21445,292482,2362,12638,28499,"Congressional District 35 (113th Congress), California",06,35,2012
714975,361387,353588,462849,32498,8837,24685,1319,156102,28685,332407,42933,22805,172500,0.4845,947,39.1,21566,79062,375500,169057,178700,509169,162837,15863,236027,7314,58414,30710,238989,7431,60357,28392,,,545244,10429,271461900,15608388500,186457,7984,13444,536994,51414,256373,8859,13454,27666,"Congressional District 36 (113th Congress), California",06,36,2012
716299,345257,371042,280913,186577,2584,73767,997,143293,28168,252420,47984,28802,490300,0.5253,1207,35.4,24052,44360,230378,136743,191542,497513,143259,48283,227258,6549,41681,54207,261332,6842,44231,54900,671817,351812,577262,7532,257417600,19629689100,114588,11456,7630,571935,22787,338183,773,20503,56756,"Congressional District 37 (113th Congress), California",06,37,2012
715745,348761,366984,400795,32114,4541,114662,2288,140734,20611,432825,60289,22988,357800,0.4235,1202,35.8,24809,51235,343817,164384,204885,484650,177410,27475,219553,8044,54985,31412,241559,8274,61086,36269,670168,280145,557516,4551,144667400,15486405500,117999,4397,5853,543041,28642,315363,1595,17154,28463,"Congressional District 38 (113th Congress), California",06,38,2012
718996,354881,364115,390410,13116,2631,219847,1045,61739,30208,234416,72388,30212,481200,0.4333,1368,38.0,30783,41760,344106,153335,201127,494803,168052,33075,233683,5067,42969,62433,249879,4552,48775,62418,677561,333167,574943,3681,127155100,20788180800,128327,10661,4673,559621,26757,342677,1498,30487,39430,"Congressional District 39 (113th Congress), California",06,39,2012
694514,340662,353852,373645,34008,2118,17795,262,252025,14661,604766,38094,13294,285400,0.4331,1023,29.7,17002,97372,273640,201986,212685,448189,200217,12468,193497,12725,46672,12930,205627,9290,44996,14684,,,504548,8323,386774500,8475125500,94704,943,7683,482478,10969,277282,2529,10000,24545,"Congressional District 40 (113th Congress), California",06,40,2012
726487,359984,366503,431902,67596,7458,35826,2261,153039,28405,423328,50128,18337,195500,0.4260,1110,30.1,21472,88356,336750,194055,230049,465808,205267,24782,207961,7823,52634,20933,215343,6148,54971,23955,,,536989,8353,267437900,12414674900,123932,2952,6826,520310,33944,286246,3059,10913,26472,"Congressional District 41 (113th Congress), California",06,41,2012
745833,368967,376866,532828,38725,6093,61901,3389,70885,32012,281331,67052,24183,270200,0.3965,1416,34.1,28831,57409,470153,202782,227124,486939,198875,28249,221686,4716,57896,33315,237199,4321,58350,37453,,,549436,4886,152968900,17203000400,162618,6437,6150,531445,44928,305598,2935,21030,27184,"Congressional District 42 (113th Congress), California",06,42,2012
697985,340960,357025,255509,167064,2732,88889,3086,151983,28722,327326,45245,22436,379600,0.4706,1113,33.9,23552,42208,208327,163693,201359,469253,172620,28739,211048,9431,51021,32939,239575,7967,51966,41109,650886,300153,539799,5248,278132500,14810043200,86561,4310,5438,525519,24197,318938,1043,18353,36853,"Congressional District 43 (113th Congress), California",06,43,2012
714989,348687,366302,298270,108941,5321,35283,4852,226916,35406,507265,43804,15586,275500,0.4333,1006,29.8,18932,72053,221834,207395,231421,451159,211534,19887,195924,8311,54114,16128,212567,6692,52459,19889,,,518014,9660,346575500,10294614600,78021,1199,5000,495786,17396,279444,1334,11236,27974,"Congressional District 44 (113th Congress), California",06,44,2012
