Total population,Male,Female,White alone,Black or African American alone,American Indian & Alaska Native alone,Asian alone,Native Hawaiian & Other Pacific Islander alone,Some other race alone, Two or more races,Hispanic or Latino (any race),Median household income,Per capita income,Median housing value,Gini index of income inequality,Median gross rent,Median age,Median income,Income in the past 12 months below poverty level,Income in the past 12 months at or above poverty level:,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Total enrolled in school,Total not enrolled in school,Total enrolled in public school,Total enrolled in private school,Males for population,"Males 12th grade, no diploma",Males Highschool diploma,Males Bachelor's degree,Females for population,"Females 12th grade, no diploma",Females Highschool diploma,Females Bachelor's degree,Total pop over 5,Speak only English,Males for population poverty,Males unemployed,Aggregate income deficit in the past 12 months,Aggregate household income in the past 12 months (in 2016 inflation-adjusted dollars),Household population,"$200,000 or more","Less than $10,000",Population for veterans,Veteran,Population for employment,"Agriculture, forestry, fishing and hunting, and mining","Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services",NAME,state,congressional district,year
749188,370745,378443,642602,25742,7114,21371,940,29486,21933,169431,49825,27961,196900,0.445,801,43.1,26643,77677,553829,147083,185559,538782,160693,24866,255139,3111,53422,53884,276202,3677,59465,55206,,,594319,6605,138915800,20344147700,274985,8307,18854,585054,90071,319498,3273,17688,43033,"Congressional District 8 (111th Congress), Arizona",04,08,2010
688562,339125,349437,555700,115632,2426,2328,162,2969,9345,17300,33862,18682,88900,0.457,579,38.8,18116,94715,445586,154102,170861,489530,156308,14553,221779,3837,86283,18566,236396,3512,84961,23852,,,523022,6223,259414700,12375982500,223851,2963,23431,520945,60778,274506,14642,10928,14263,"Congressional District 1 (111th Congress), Arkansas",05,01,2010
753672,367381,386291,561237,161627,3236,9851,50,8505,9166,40122,43685,23889,127800,0.459,720,36.1,23840,70554,477795,167519,201479,521901,170281,31198,235719,4641,75868,44071,259344,3982,77723,40982,,,573676,6065,206097700,17378604500,224509,6663,14739,569228,64963,339987,6289,20204,30237,"Congressional District 2 (111th Congress), Arkansas",05,02,2010
825495,405796,419699,712193,21792,9477,18001,4763,36558,22711,97960,40674,21181,127600,0.453,640,35.2,21567,104839,588651,199083,224587,567233,206634,17953,255405,4112,80578,40043,270475,3290,92997,39775,,,616886,4625,221654600,16990772800,276877,5795,21376,613277,67615,371211,12140,14038,23752,"Congressional District 3 (111th Congress), Arkansas",05,03,2010
653877,318535,335342,460565,165360,3486,3060,115,13356,7935,27292,35312,18651,80800,0.450,596,39.8,18481,68560,379136,138616,163136,466822,151027,12109,210174,4878,82721,21858,230130,4295,82945,23741,,,499859,5689,230899500,11655394500,180681,2516,14982,500316,54215,259624,13142,9071,15968,"Congressional District 4 (111th Congress), Arkansas",05,04,2010
710852,351919,358933,553647,12856,20702,42069,2825,50878,27875,170409,48003,25434,337600,0.469,1002,37.1,23030,76655,459083,148300,201377,486343,178045,23332,223786,4891,53822,38908,237431,3324,53499,42386,,,543502,6138,141792300,17395109300,220650,9141,12515,552872,51127,302693,13903,16177,25264,"Congressional District 1 (111th Congress), California",06,01,2010
707923,351988,355935,575773,8706,10783,31128,2208,41877,37448,133486,42249,21649,221500,0.439,853,37.6,20787,97120,469628,155965,197436,485588,176397,21039,227210,6405,60294,32712,237215,4688,56113,31735,,,547615,10792,189154700,14782634300,228765,4323,14936,537376,62805,267957,18443,14447,24408,"Congressional District 2 (111th Congress), California",06,02,2010
790923,397061,393862,547299,50551,6906,85469,9607,45301,45790,127372,61853,28100,264700,0.410,1047,38.3,29448,53671,481042,180314,221024,542320,185388,35636,259261,8154,57669,47325,267833,4848,57163,53226,740209,566587,599660,7406,136706500,21768094600,216467,8376,6762,598028,60765,341220,3888,26069,36411,"Congressional District 3 (111th Congress), California",06,03,2010
774590,390603,383987,658960,10218,11124,33668,2460,26164,31996,94403,60629,29821,336600,0.435,1042,41.4,28615,67287,582699,168553,202732,548262,178128,24604,266563,4174,64829,53438,271762,4284,60666,55671,,,601605,6454,127855500,22525970300,260173,12756,12538,597903,71824,324671,4572,25478,37281,"Congressional District 4 (111th Congress), California",06,04,2010
694153,335437,358716,368746,93622,7649,118290,6149,53434,46263,188417,43953,21948,205000,0.451,940,33.1,22431,64201,300529,170067,204366,458596,181882,22484,206657,6070,48238,34255,231715,6041,48349,36992,643312,406839,529498,11908,274007200,14965109900,155198,4020,10105,514337,45113,279055,1413,16213,30837,"Congressional District 5 (111th Congress), California",06,05,2010
663617,326171,337446,544952,15355,5268,32152,2415,40612,22863,140728,64391,37497,533100,0.492,1293,41.8,31114,60775,476763,134854,165038,477022,137818,27220,226204,6339,40506,52017,242942,4491,38836,63314,625554,470290,526644,6878,103476000,24501050700,228860,24641,11675,520936,42267,312358,4773,23260,44068,"Congressional District 6 (111th Congress), California",06,06,2010
667980,334237,333743,373572,106175,3011,97643,3750,46932,36897,196869,61315,26413,288200,0.423,1189,36.1,28334,45236,321394,150754,176222,466458,150349,25873,216016,6191,56525,31839,226235,3681,51951,40357,622040,388526,510796,6247,152662400,17099861200,136587,6558,5960,507248,44233,298389,2962,19772,29337,"Congressional District 7 (111th Congress), California",06,07,2010
667249,339308,327941,345990,46692,3535,213292,3030,32477,22233,109579,69926,44867,742500,0.517,1356,37.7,34263,38492,304982,79340,138717,510457,102238,36479,267199,5131,36769,85737,250235,4507,38257,78145,638077,349778,586660,4490,73635600,28576680700,169211,25884,8255,581264,25767,378683,1130,32344,77528,"Congressional District 8 (111th Congress), California",06,08,2010
649988,318722,331266,308802,129200,2820,121394,4125,51604,32043,141758,53286,31893,508500,0.507,1097,35.8,27214,39892,262955,126433,183815,442612,156979,26836,211723,4913,35859,47685,227164,4123,35841,56045,610815,379002,520316,8057,186802200,20088423300,127382,16741,5577,515938,26433,293887,437,16756,45629,"Congressional District 9 (111th Congress), California",06,09,2010
711957,344088,367869,460354,50747,3064,103746,5071,51453,37522,155921,75457,35580,426900,0.431,1311,38.9,35399,30099,425403,172744,198545,488145,166712,31833,224362,4525,41190,57330,250781,3456,48754,66150,666905,469749,546397,4278,94509700,24855482200,182765,18679,6712,531524,47146,328530,2039,31777,48721,"Congressional District 10 (111th Congress), California",06,10,2010
790726,387116,403610,537685,36460,6393,118042,2973,42012,47161,206368,72075,32850,359400,0.451,1213,36.7,31611,52396,475291,210896,231273,526689,198142,33131,240249,5503,48033,51168,265614,4666,57072,56057,736489,515656,584036,5725,147809700,25626484400,195131,18269,7388,571858,49149,337243,7610,24373,43773,"Congressional District 11 (111th Congress), California",06,11,2010
655978,321551,334427,345456,11607,2524,216821,5132,36845,37593,126048,82337,40037,725900,0.437,1498,40.3,38257,24566,319213,127547,164883,470227,123450,41433,222603,4654,36043,58562,248352,4435,41238,71750,618997,327132,535872,2895,70814100,25492418500,143492,18893,4749,523927,28651,331274,1267,28847,51558,"Congressional District 12 (111th Congress), California",06,12,2010
667840,325359,342481,243452,49468,4387,243891,7781,73988,44873,167327,73539,30293,467000,0.413,1272,36.4,32656,24094,218212,156302,176132,465421,149430,26702,212047,4383,52052,47844,237445,4683,58428,57001,621508,291343,519050,5094,101367400,19643229300,96892,6183,3790,505230,28765,309722,1308,16238,48471,"Congressional District 13 (111th Congress), California",06,13,2010
654654,328913,325741,428779,15877,1994,141962,8096,34416,23530,135240,94740,49460,859800,0.479,1410,38.5,41289,28332,391456,145177,175665,454130,127399,48266,229215,3308,28090,60153,225371,3049,28681,66199,610682,358724,507918,2431,58345000,31739567400,170287,30516,6652,506083,31213,316568,3433,18263,69256,"Congressional District 14 (111th Congress), California",06,14,2010
